sentence,sense_id
"The curriculum consists of course offerings in English, mathematics, history and social sciences, foreign languages (French, Spanish, and German), visual arts (photography, ceramics, drawing, video production, animation), music (concert and marching band, orchestra, jazz ensemble,), theatre and performing arts, economics, government, journalism, psychology, technology, and science (biology, physics, earth sciences, chemistry, <b>anatomy</b> and physiology, and field biology).",anatomy.n.en.01
"In a particularly controversial ruling, Rabbi Waldenberg ruled that sex reassignment surgery for transsexuals effects a change in a person's halachic gender, and that, in his words, ""The external <b>anatomy</b> which is visible to the eye is what determines the halakha"".",anatomy.n.en.02
This article was originally based on an entry from a public domain edition of Gray's <b>Anatomy</b>.,anatomy.n.en.01
"In <b>anatomy</b>, the genitourinary system or urogenital system is the organ system of the reproductive organs and the urinary system.",anatomy.n.en.01
This article was originally based on an entry from a public domain edition of Gray's <b>Anatomy</b>.,anatomy.n.en.01
This article was originally based on an entry from a public domain edition of Gray's <b>Anatomy</b>.,anatomy.n.en.01
"In Paris, Littr&#233; taught <b>anatomy</b> and was the author of numerous medical publications.",anatomy.n.en.01
"* Grey's <b>Anatomy</b>- Season 4, Episode 4 (song: ""Hawaii"")",anatomy.n.en.01
"Courses specific to dental hygiene may include <b>anatomy</b>, oral anatomy, materials science, pharmacology, radiography, periodontology, nutrition, and clinical skills.",anatomy.n.en.01
The Committee to Protect Journalists: <b>Anatomy</b> of injustice (September 2009),anatomy.n.en.03
"Much of their discussion revolved around sex and there were often ""lectures"" on sex and <b>anatomy</b>.",anatomy.n.en.01
* <b>Anatomy</b> at UMichpelvic_autonomic_module/pelvic_page05,anatomy.n.en.01
*Levels of Organization (<b>anatomy</b>),anatomy.n.en.03
Galen's influence on Chauliac can clearly be seen in the latter's belief that surgeons should have a thorough understanding of <b>anatomy</b>.,anatomy.n.en.01
* Human <b>anatomy</b> at Dartmouthfigures/chapter_32/32-2.HTM,anatomy.n.en.01
Founded in 1718 as the Regius Chair of Anatomy and Botany the province of the chair was restricted to <b>anatomy</b> in 1818 when the Regius Chair of Botany was founded.,anatomy.n.en.01
Another source of <b>anatomy</b> teaching began with the foundation of many medical schools (particularly within the provincial medical schools) and the medical museums found within them.,anatomy.n.en.01
*Grey's <b>Anatomy</b> (2005) as Mary Levangie (one episode),anatomy.n.en.01
This article was originally based on an entry from a public domain edition of Gray's <b>Anatomy</b>.,anatomy.n.en.01
"Along the way, the tour guide (a professional actor) tells the story of Bram Stoker and how he came up with the idea for his Dracula novel, as well as several other stories, involving creatures such as banshees, and gruesome tales of surgeons paying body snatchers for fresh corpses, such as the infamous Dr. Clossey's school of <b>anatomy</b>.",anatomy.n.en.01
This article was originally based on an entry from a public domain edition of Gray's <b>Anatomy</b>.,anatomy.n.en.01
* Human <b>anatomy</b> at Dartmouthfigures/chapter_24/24-7.HTM,anatomy.n.en.01
* Human <b>anatomy</b> at Dartmouthfigures/chapter_35/35-8.HTM,anatomy.n.en.01
"Of similar distribution to that of Narcisseae, the Galantheae are distinguished from the former by the type of anther dehiscence and leaf <b>anatomy</b>.",anatomy.n.en.01
This period was a time of fierce debate between Galenists and the new body of thought on <b>anatomy</b>.,anatomy.n.en.01
"Laughing Octopus is a master of camouflage, disguising as various things including a muscle <b>anatomy</b> mannequin, painting, dead Haven solider, and a wall.",anatomy.n.en.01
