sentence,sense_id
"He led the development of many of the key technologies in that title, including the core creature tesselation, painting, skinning, and <b>animation</b> technologies.",animation.n.en.05
"Ironically, after John Lasseter took over the Animation division with the purchase of Pixar, Disney has returned to traditional 2-D <b>animation</b> with development of The Princess and the Frog.",animation.n.en.05
"In 1992, Tokyo Babylon was adapted into a two-part original video <b>animation</b> series directed by Koichi Chigira, with characters designs by Kumiko Takahashi.",animation.n.en.05
The graphics and <b>animation</b> were not well developed in this motorcycle Racing game but on the other hand the fact that the game has a versus mode is well-appreciated.,animation.n.en.05
"<b>Animation</b> tools include a timeline for applying filters, an exposure sheet, a keyframer to move images around, the ability to paint with animated brushes, a batch processor, pulldowns and retiming, and other items of use to animators and motion graphic artists.",animation.n.en.05
Reused <b>animation</b> from Chuck Jones' Often An Orphan (1948) and Friz Freleng's Piker's Peak (1957) is also seen here.,animation.n.en.05
"Chris and J.C. find one in a top secret room that is being kept in a state of suspended <b>animation</b>, but when it grabs one of their arms as they try to move it, they chicken out and run back to their dorm room.",animation.n.en.01
"""Backstage view of the facility in which Coraline's stop-motion <b>animation</b> is filmed in Portland, Oregon.",animation.n.en.05
"* In March 1996, a 30-minute television film was made with a mix of live action and <b>animation</b> and the characters from the story were designed by Chuck Jones.",animation.n.en.05
"Some adult <b>animation</b> is pornographic, although not all adult animated features are pornography.",animation.n.en.05
"However, this blooper is rarely seen in recent films but commonly used in fake bloopers for <b>animations</b>.",animation.n.en.05
* game and Computer <b>animation</b> development,animation.n.en.05
"Because of this, many animations are very short and lack detail but some users have created impressive animations Advanced <b>animation</b> created using the ShapeShifter software.",animation.n.en.05
"In addition, WPF supports time-based <b>animations</b>, in contrast to the frame-based approach.",animation.n.en.05
*it provides visual identification of the movie's <b>animation</b> style.,animation.n.en.05
"Newer waves of <b>animations</b> since the 90s, especially flash animations, are trying to break away from the tradition.",animation.n.en.05
"The fifth DVD, containing the twelfth and the original video <b>animation</b> episodes of Amaenaideyo!! Katsu, was released on June 21, 2006.",animation.n.en.05
*Annulus definition and properties With interactive <b>animation</b>,animation.n.en.05
Anime Club is to teach people of the Japanese culture through its <b>animation</b> offer a great hangout spot for people of similar interests.,animation.n.en.05
"A new graphics engine was used to animate the various limbs of each character separately, allowing for more fluid <b>animation</b>.",animation.n.en.06
* Food Decomposition (a Flash <b>animation</b>),animation.n.en.05
"The anime series was produced by the <b>animation</b> studio J.C.Staff, and aired in Japan from July 6 2007 to September 21 2007, containing twelve episodes.",animation.n.en.05
"* Scotty, now chronologically 147 years old, but still only physically 72 years old due to spending 75 years trapped in suspended <b>animation</b>, is rescued by the Enterprise-D crew and resumes his life in ""Relics"".",animation.n.en.01
