sentence,sense_id
"Sanjiang University employs around 550 faculty members, of which, more than 380 are professors and <b>associate</b> professors.",associate.n.en.03
"While in prison, Downs has earned an <b>associate</b>'s college degree in general studies.",associate.n.en.05
"On June 13, 2007, it was reported that actor John Larroquette would join the cast as a senior partner transferred from the New York offices of Crane, Poole &amp; Schmidt (Note: Larroquette previously appeared on BL's forerunner The Practice as another character, a hyper-intelligent man on trial for killing his gay lover; this role earned Larroquette an Emmy Award.); and actress Tara Summers would be joining as a young <b>associate</b>.",associate.n.en.03
"Jerry was a supporting character in the series, who did not receive his own plotline; he primarily served to give Ben an intellectually-equal <b>associate</b>, because Ben was otherwise surrounded by low-level thugs such as Leo Johnson and Hank Jennings.",associate.n.en.02
This story was collected from his musical <b>associate</b> Ishman Bracey and his elder brother Ledell in the 1960s.,associate.n.en.01
"Then a group of businessmen concerned at Ley's reputation for dubious business dealings (SOS Prickly Pear Poisons Ltd being one of the more infamous) appointed Keith Greedor, an opponent of Ley but formerly an <b>associate</b> of his, to investigate.",associate.n.en.01
"Exeter City were bought out pre-season in a high-profile takeover spearheaded by Uri Geller; unfortunately, Geller's <b>associates</b> proceeded to asset-strip the club, and despite a late-season run of form, Exeter fell victim to the first-ever dual relegation from the League.",associate.n.en.01
"18&#8211;31 These rumours, however, were clearly of some importance, if only as a trigger, and they had a small kernel of truth: one of the close <b>associates</b> of the assassins, Gesya Gelfman, was indeed Jewish.",associate.n.en.02
"He was an <b>associate</b> of A.M. Allchin, Georges Florovsky and other prominent figures in Anglican-Orthodox relations in the twentieth century.",associate.n.en.01
"Jia, however, arrogant at his high status as well as his association with the chancellor Li Zongmin and Emperor Wenzong's close <b>associate</b> Zheng Zhu, did not get off his horse and continued riding.",associate.n.en.01
"Longtime <b>associates</b> of mobster Charles ""Lucky ""Luciano, the gang would frequently work with Joe Adonis's Broadway Mob throughout the 1920s and would eventually be incorporated into the National Crime Syndicate after Prohibition's end in 1933.",associate.n.en.01
"Noting that individuals named ""James"" and ""Lauren"" were involved in both incidents, Bugliosi speculated that Manson&#8217;s <b>associates</b> had killed the Willetts because they were actually Forsher and Elder (Hughes's friends), and thus knew too much about Hughes&#8217;s death.",associate.n.en.01
