sentence,sense_id
"Along with other river people in the area, Arrentela dissolved into a <b>base</b> with potentialities of the river which in a level of its natural recourses and its proportional acitivities for the geographic location with a naval consturction brought for a part of that time the discovery and expansion of the Portuguese maritime.",base.n.en.04
"Nearby landmarks include Limestone Park, The Workshops Railway Museum and the RAAF <b>Base</b> Amberley.",base.n.en.01
"' \x00',' \xb8', /* <b>base</b> address = LSB | MSB original segment*/",base.n.en.13
"As the user <b>base</b> got larger, Collaba evolved into a multi-protocol server, so that users can communicate and collaborate with more than just a web browser.",base.n.en.12
It was replaced by safety film with an acetate <b>base</b>.,base.n.en.18
"Apalachia Lake stretches for miles (0 km) to the <b>base</b> of Hiwassee Dam, and contains miles (0 km) of shoreline and acres (0 ha) of water surface.",base.n.en.04
This was done by putting Cuellar's <b>base</b> county of Laredo in the district held by Rodriguez.,base.n.en.12
Higher secondary level of knowledge is a good <b>base</b>.,base.n.en.07
"In 1859, the pyramidologist John Taylor claimed that, in the Great Pyramid of Giza, the golden ratio is represented by the ratio of the length of the face (the slope height), inclined at an angle &#952; to the ground, to half the length of the side of the square <b>base</b>, equivalent to the secant of the angle &#952;. Taylor, The Great Pyramid: Why Was It Built and Who Built It?, 1859 The above two lengths were about 186.4 and 115.2 meters respectively.",base.n.en.11
"The continued fraction representation of pi is [3; 7, 15, 1, 292, 1, 1, 1, 2...]; the convergent obtained by truncating before the surprisingly large term 292 yields the excellent rational approximation 355/113 to pi, repdigit in <b>base</b> 8 (444).",base.n.en.13
"Rossosh had a manor house on top of a hill, an extensive court yard and subsidiary buildings; at the <b>base</b> of this mountain- in succession were three ponds, and behind them- 20 desyatin of forest.",base.n.en.04
"ScriptLogic claims a user <b>base</b> of more than 25,000 customers managing approximately 5.5 million desktops and 100,000+ servers.",base.n.en.12
* he is not solely connected with the Sovereign <b>Base</b> Areas of Cyprus,base.n.en.17
"The Marlins' first manager was Rene Lachemann, a former catcher who had previously managed the Seattle Mariners and Milwaukee Brewers, and who at the time of his hiring was a third <b>base</b> coach for the Oakland Athletics.",base.n.en.03
"With Eddie's help, Jonah and the SAS soldiers on board manage to re-activate the <b>base</b> radar and use the teletype machines to make contact with a British naval officer in the Falklands who is able to confirm with the McMurdo Antarctic base the existence of sufficient provisions, plus a nuclear reactor for warmth.",base.n.en.01
"George Air Force Base (1941&#8211;1992) is a former United States Air Force <b>base</b> located 8 miles Northwest of Victorville, California, about 75 miles Northeast of Los Angeles, California.",base.n.en.01
"Some unverified sources suggest that Sheridan took command of the EarthForce <b>base</b> on Io at the conclusion of the Earth-Minbari War in 2248, and was transferred in early 2251 after helping to suppress the Martian Food Riots.",base.n.en.14
"The formula for the area will stay consistent, however, because the height of the triangle is also variable depending on which side of the triangle is chosen as the <b>base</b>.",base.n.en.11
Since 2004 it has been the main helicopter <b>base</b> for the Danish armed forces.,base.n.en.14
"This approach simplified the complexity of the rule <b>base</b>, but required expert coding and editing for modifications.",base.n.en.07
"During the Cold War it was home to the air <b>base</b> Kryuchkovo, which is no longer in service.",base.n.en.01
A build-up of Marine forces took place and actions around Khe Sanh commenced when the Marine <b>base</b> was isolated.,base.n.en.01
"After the collapse of the community in 1977, border crossings were made difficult, hence the eventual establishment of permanent <b>base</b> in Kenya by the group.",base.n.en.14
"The base is home to the oldest surviving Drydock in the world, as well as being the <b>base</b> port for 66 % of the Royal Navy's surface fleet.",base.n.en.14
The city is also home to the United States' Camp Zama Army <b>base</b>.,base.n.en.01
"In all, 42 sites were examined, and Major Kenney declared that Punta Borinquen was the best site for a major air <b>base</b>.",base.n.en.01
Clearly the advantages of decimal prefixes derive from our using <b>base</b> 10 arithmetic.,base.n.en.13
"The ingredient list of Orbit gum during the Second World War was gum <b>base</b>, sugar, corn syrup, softeners, and artificial fruit flavors.",base.n.en.18
"The <b>base</b> LS came with the 954 cc XV, the GL with the 1124 cc XW and the top-of-the-line GLS' with the largest 1360 cc XY.",base.n.en.12
"The mount features two spring-actuated bolts, positioned along the <b>base</b> of the mount, which exert pressure on the receiver to hold the mount in the same position at all times assuring zero retention.",base.n.en.02
"***304rd <b>Base</b> Factory (304 &#928;&#917;&#914;), based at Velestino,Thessaly",base.n.en.01
His father Skender brought him to the local military <b>base</b> Cvore.,base.n.en.01
"We worked our way through that area, went down another flight of stairs to where the laundry facilities are, then proceeded into the catacombs, all the way through the <b>base</b> of the hotel and out into the parking lot, where we ended up in a motorcade.",base.n.en.04
"It was inactivated on September 30, 1995 with the closure of the <b>base</b>.",base.n.en.01
Rotational landslides (slumps) are visible at the <b>base</b> of north wall.References,base.n.en.04
"Linked to the Ulster Volunteer Force (UVF), it is the left-wing party of unionism in Northern Ireland, with its main support <b>base</b> in the loyalist working-class communities of Belfast.",base.n.en.08
"AMPHIBIANS AND REPTILES: Several scientists and students have undertaken studies in Piedras Blancas National Park, using La Gamba Field Station as a <b>base</b> for their investigative trips.",base.n.en.14
"There was presumably a third parameter in designing the vowel letters, not mentioned in the Haerye, namely choosing horizontal &#12641; eu as the graphic base of ""closed"" (rounded) &#12636; u and &#12631; o, and vertical &#12643; i as the <b>base</b> of ""open ""(unrounded) &#12627; eo and &#12623; a.",base.n.en.16
"Fore wing: the costa, apex and termen bordered with black, this edging narrows from <b>base</b> to the middle of the costa, then broadens greatly at apex, where it occupies the apical fourth of the wing, and is again narrowed below vein 4, whence it is continued as an even band to the tornus; on the disc beyond the apex of the cell the groundcolour is sensibly paler, and the dark markings of the cell are faintly visible by transparency from below.",base.n.en.05
*Quater-imaginary <b>base</b> (base 2 1),base.n.en.13
"Today, the 9th Reconnaissance Wing at the <b>base</b> achieves its mission in harmony with historical and environmental preservation efforts.",base.n.en.01
Is a vector bundle over a <b>base</b> space X together with a morphism,base.n.en.13
"Enea then successfully stole second, her first stolen <b>base</b> of the year, causing some confusion as she jogged to second on whether it was a dead ball.",base.n.en.03
"This is the recursion, and executes the function again until the <b>base</b> case is reached.",base.n.en.07
Octal <b>base</b> with top cap.,base.n.en.11
"Within the wilderness grows one of the northernmost stands of Joshua tree, at the <b>base</b> of the Inyo Mountains.",base.n.en.04
