sentence,sense_id
"Having played as a right-handed batsman and right-arm medium pace <b>bowler</b> for New South Wales from 1937 to 1946, Crossan was at the time of his death the last surviving New South Wales player to have appeared for the team before the Second World War.",bowler.n.en.01
"* Don Johnson (bowler) (1940 2003), American ten-pin <b>bowler</b>",bowler.n.en.02
"A right-handed batsman and left-arm spin <b>bowler</b>, he played nineteen times for the Ireland cricket team between 1891 and 1907 CricketEurope Stats Zone profile, including one first-class match.",bowler.n.en.01
West Indies <b>bowler</b> Lance Gibbs took the only ever Test cricket hat trick at the ground in Australia's first innings.,bowler.n.en.01
"Miller was a correct right-handed batsman and a reliable right-arm off-break <b>bowler</b>, taking 888 wickets in 283 first-class matches (1973 1990) and 278 wickets in 334 List A matches (1973 1994).",bowler.n.en.01
"*Beburg Ali Zehri, a fast <b>bowler</b> for the Canadian National cricket team;",bowler.n.en.01
* being the first Australian <b>bowler</b> to reach 100 wickets in Test matches.,bowler.n.en.01
He was a right handed batsman and a underarm slow right arm <b>bowler</b>.,bowler.n.en.01
"If the regular <b>bowlers</b> are not achieving the desired results, the captain may decide to use non-regular bowlers to attempt to unsettle the batsmen.",bowler.n.en.01
"When he retired at the end of the 2000 season, Hartley was Hampshire's opening <b>bowler</b>.",bowler.n.en.01
"She has also been joined at Darton by Katherine Brunt, England <b>bowler</b>.",bowler.n.en.01
"He was a right-handed batsman and a fast <b>bowler</b>, who was also a wicket-keeper.",bowler.n.en.01
"Others would want the privilege shared by Fred Trueman and Frank Tyson and a couple of South Australian pace <b>bowlers</b>, Peter Trethewey and Alan Hitchcox.",bowler.n.en.01
He was born on 23 March 1978 in Bramin Baria and is a right-handed batsman and right arm medium fast <b>bowler</b>.,bowler.n.en.01
* Richard Plankton- Professional Bowlers Association <b>bowler</b> who currently holds two PBA career titles and placed twenty sixth in 2007-2008 regional points list.,bowler.n.en.02
He is a right-handed batsman and a slow left-arm <b>bowler</b>.,bowler.n.en.01
"Name=o/&gt;&lt;Ref name=sched/&gt; In the second match, Ring was the costliest <b>bowler</b> in the first innings, conceding 42 runs without success in Scotland's 178.",bowler.n.en.01
"This was followed by a flying <b>bowler</b> hat on screen, to mark the start of the show.",bowler.n.en.03
"The following year, he improved even further- at times bowling well even on wickets too dead to suit a fast <b>bowler</b>.",bowler.n.en.01
He was a right-hand batsman and right-arm off-spin <b>bowler</b>.,bowler.n.en.01
"I had gained the extra pace necessary for me to be regarded as a strike <b>bowler</b>, one who could be used in explosive spells searching for the breakthrough.",bowler.n.en.01
"Rashid Ghulam Mohammed Patel link=File :Rashid_Patel .ogg pronunciation (help &#183; info) (born June 1, 1964, Sabarkantha, Gujarat) was a left arm fast <b>bowler</b> who represented India in cricket.",bowler.n.en.01
Shane Keith Warne (born 13 September 1969) is a former Australian international cricketer widely regarded as one of the greatest leg spin <b>bowlers</b> in the history of the game.,bowler.n.en.01
"First, Asim Butt, the leading Scottish seam <b>bowler</b> was banned for a year after testing positive for ecstasy.",bowler.n.en.01
"Bradman told Johnston that the selectors thought highly of his potential as a medium-fast <b>bowler</b> to reinforce the short bursts of pace spearheads Ray Lindwall and Keith Miller and that pace bowlers were in short supply, whereas spinners were plentiful.",bowler.n.en.01
"Malik was omitted from the Pakistani team for the first Test against Australia in 2004, although this was due to the reputation of the Perth pitch as being unfriendly to spin <b>bowlers</b> rather than as a result of the controversy.",bowler.n.en.01
"*Claude Henderson, left-arm spin <b>bowler</b> (1972-)",bowler.n.en.01
"Use of a Chameleon pattern results in a large range of scores (low to high), as does the <b>bowlers</b>' approach to the pattern.",bowler.n.en.02
"A bowler's bowling average is defined as the total number of runs conceded by the <b>bowler</b> divided by the number of wickets taken by the bowler, so the lower the average the better.",bowler.n.en.01
"In addition, Ambrose also boasts the best economy rate of any of the nine <b>bowlers</b> who have taken 400 or more Test wickets, at 2.31 per over.",bowler.n.en.01
"In that same series, at Adelaide, he was infamously run out backing up at the bowler's end by Charlie Griffith, without any warning from the <b>bowler</b>.",bowler.n.en.01
"During 1993 he became a regular member of the WJCC, mainly as a <b>bowler</b>.",bowler.n.en.01
He was an orthodox slow left-arm <b>bowler</b> (SLA) and a lower-order right-handed batsman (RHB).,bowler.n.en.01
"Along with the effects of the rain on the pitch, the humid conditions assisted the Australian fast <b>bowlers</b>, who were able to make the ball bounce at variable heights.&lt;Ref",bowler.n.en.01
"D) ""To set up a program that would encourage adult bowlers to take a greater interest in youth <b>bowlers</b> and in instructing youngsters in the etiquette, rules and customs of a properly organized and conducted league.""",bowler.n.en.02
He was a right-handed batsman and a right-hand medium-fast <b>bowler</b> who played first-class cricket for Durham during 2004.,bowler.n.en.01
"Therefore, on the fall of a wicket, a lower-order batsman (such as a <b>bowler</b>) is sometimes promoted.",bowler.n.en.01
"Feldman has a high-powered, high-rev ""cranker"" style delivery that is uncommon among female <b>bowlers</b>.",bowler.n.en.02
