sentence,sense_id
* Merry Company- c.1663-65 (<b>canvas</b>),canvas.n.en.02
"In 1855, William Stirling wrote in Vel&#225;zquez and his works: ""Vel&#225;zquez seems to have anticipated the discovery of Daguerre and, taking a real room and real people grouped together by chance, to have fixed them, as it were, by magic, for all time, on <b>canvas</b>"".",canvas.n.en.02
BackgroundColors = <b>canvas</b> :sfondo,canvas.n.en.02
| Oil on <b>canvas</b>,canvas.n.en.02
They are all either hypercomics or expanded <b>canvas</b> webcomics.,canvas.n.en.03
The drawing <b>canvas</b> can be both zoomed and rotated using the sliders on the navigator or the hotkeys configured on the keyboard.,canvas.n.en.02
| Oil on <b>canvas</b>,canvas.n.en.02
||Boulevard des Capucines ||1873 ||Painting- oil on <b>canvas</b> ||,canvas.n.en.02
BackgroundColors = <b>canvas</b> :sfondo,canvas.n.en.02
: Fancy paints on mem'ry's <b>canvas</b>,canvas.n.en.02
"Set in a dimly lit museum which was open after hours, the pilot film featured Serling (as on-camera host) playing the part of curator introducing three tales of the macabre, unveiling <b>canvases</b> that would appear in the subsequent story segments (its brief first season rotated as one spoke of a four-series programming wheel titled Four in One), focused more on gothic horror and the occult than did The Twilight Zone.",canvas.n.en.03
"**Wall finishes: painted <b>canvas</b>, oak, mahogany, silk damask and brocade, gilding, imported panelling, plaster",canvas.n.en.02
A series of twenty-four triumphant <b>canvases</b> were commissioned from Peter Paul Rubens.,canvas.n.en.02
"Giovanni Fattori, Cowboys of the Maremma Driving the Herds, 1893, oil on <b>canvas</b>, 200 x 300 cm, Livorno, Museo Civico Fattori.",canvas.n.en.02
BackgroundColors = <b>canvas</b> :sfondo,canvas.n.en.02
"*&#8220;Muslin Street &#8221;, (1896), oil on canvas, City Art Centre Edinburgh*&#8220;Mrs Newberry and Daughter"" ,oil on <b>canvas</b>, (1902) Hunterian Art Gallery, Glasgow",canvas.n.en.02
||Morning on the Seine ||1896 ||Painting- oil on <b>canvas</b> ||,canvas.n.en.02
"Wooden tailfins, <b>canvas</b> covered.",canvas.n.en.01
"* Rutu, 1951, oil paint on <b>canvas</b>",canvas.n.en.02
BackgroundColors = <b>canvas</b> :sfondo,canvas.n.en.02
"In 1626, the Sacchetti engaged Cortona to paint for them three large <b>canvases</b> of Sacrifice of Polyxena, Triumph of Bacchus, and Rape of the Sabines (the latter, c. 1629), Three canvases now in Capitoline Gallery and to paint a series of frescoes in the Villa Sacchetti in Castel Fusano, near Ostia, using a team that included the young Andrea Sacchi.",canvas.n.en.02
BackgroundColors = <b>canvas</b> :fond,canvas.n.en.02
BackgroundColors = <b>canvas</b> :sfondo,canvas.n.en.02
"The traditional and most common support for watercolor paintings is paper; other supports include papyrus, bark papers, plastics, vellum or leather, fabric, wood, and <b>canvas</b>.",canvas.n.en.02
"The San Francisco Museum of Modern Art (SFMOMA), 2000, Gottfried Helnwein's ""Mouse I"" (1995, oil and acrylic on <b>canvas</b>, 210 x 310 cm) in the exhibition ""The Darker Side of Playland- Childhood Imagery from the Logan Collection"".",canvas.n.en.02
| Oil on <b>canvas</b>,canvas.n.en.02
