sentence,sense_id
"While topology is mostly interesting only for infinite spaces, finite topological spaces are often used to provide examples of interesting phenomena or counterexamples to plausible sounding <b>conjectures</b>.",conjecture.n.en.02
He introduced the Petersson inner product and is also known for the Ramanujan&#8211;Petersson <b>conjecture</b>.,conjecture.n.en.01
*Hadwiger's <b>conjecture</b> on covering convex bodies with smaller copies of themselves,conjecture.n.en.01
The <b>conjecture</b> states that,conjecture.n.en.03
* Conway's thrackle <b>conjecture</b>,conjecture.n.en.01
Wagstaff primes are related to the New Mersenne <b>conjecture</b> and have applications in cryptology.,conjecture.n.en.01
* Gauss made progress toward proving the Kepler <b>conjecture</b>.,conjecture.n.en.01
"After the publication of Calogero's original paper, ""[The] [c]osmic origin of quantization"" a response was published by Giuseppit Gaeta of the University of Rome in which he discussed the compatibility of the <b>conjecture</b> with present bounds on variation of fundamental constants, but also outlined his focus on the modification of the relation between redshift and distance, and of the estimations attained from observations of elapsed time from the production of cosmic radiation and implications-- both being related also, to the observed blackbody distribution of background cosmic radiation.",conjecture.n.en.01
(Many of these contained considerable fabrication and wild <b>conjecture</b>.),conjecture.n.en.03
"* Among non-discrete groups, the <b>conjecture</b> has been shown in 2003 by J. Chabert, S. Echterhoff and R. Nest for the vast class of all almost connected groups (i.",conjecture.n.en.02
"The <b>conjecture</b> is usually attributed to Friedhelm Waldhausen, although he did not formally state it.",conjecture.n.en.01
"To find for each prime p a larger prime q and a congruence solving the 4/n problem for n &#8801; p (mod q); if this could be done, no prime p could be a counterexample to the <b>conjecture</b> and the conjecture would be true.",conjecture.n.en.01
"After her time at the Institute, she became an instructor at Princeton University, where she learned of the Seifert <b>conjecture</b>.",conjecture.n.en.01
A result of de Castro et al. (2002) combines Gr&#246;tzsch's theorem with Scheinerman's <b>conjecture</b> on the representation of planar graphs as intersection graphs of line segments.,conjecture.n.en.01
A doubtful <b>conjecture</b> has brought Colarbasus into a single sentence of Tertullian(adv.,conjecture.n.en.02
Many <b>conjectures</b> deal with the question whether an infinity of prime numbers subject to certain constraints exists.,conjecture.n.en.03
"Unlike most theorem provers, which attempt to find proofs automatically for correctly stated <b>conjectures</b>, LP is intended to assist users in finding and correcting flaws in conjectures &#8212; the predominant activity in the early stages of the design process.",conjecture.n.en.01
"The movement of a significant volume of water into the Earth's interior had been proposed as early as Strabo, but it was not embraced by Werner because it was associated with <b>conjecture</b>.",conjecture.n.en.03
"However, as pointed out by Carl Hempel (1905-1997) this simple Popperian view of scientific method is incomplete; the formulation of the <b>conjecture</b> might itself be the result of inductive reasoning.",conjecture.n.en.01
The simple type <b>conjecture</b> states that if M is simply connected and b 2 + (M) 2 then the moduli space is finite.,conjecture.n.en.01
"The most celebrated single question in the field, the conjecture known as Fermat's Last Theorem, was solved by Andrew Wiles Solving Fermat: Andrew Wiles but using tools from analysis developed during the last century rather than within number theory where the <b>conjecture</b> was originally formulated.",conjecture.n.en.01
* The Collatz <b>conjecture</b> concerning a simple iteration.,conjecture.n.en.01
See Goldbach's <b>conjecture</b> &gt; Origins,conjecture.n.en.01
"Young's essay, <b>Conjectures</b> on Original Composition, was popular and influential on the continent, especially among Germans, as a testament advocating originality over neoclassical imitation.",conjecture.n.en.02
"Ganea's <b>conjecture</b> is a claim in algebraic topology, now disproved.",conjecture.n.en.01
"The chromatic number of the plane, where two points are adjacent if they have unit distance, is unknown, although it is one of 4, 5, 6, or 7. Other open problems concerning the chromatic number of graphs include the Hadwiger conjecture stating that every graph with chromatic number k has a complete graph on k vertices as a minor, the Erd&#337;s&#8211;Faber&#8211;Lov&#225;sz conjecture bounding the chromatic number of unions of complete graphs that have at exactly one vertex in common to each pair, and the Albertson <b>conjecture</b> that among k-chromatic graphs the complete graphs are the ones with smallest crossing number.",conjecture.n.en.01
Related <b>conjectures</b> and results,conjecture.n.en.03
"Historians <b>conjecture</b> that they penetrated to a latitude of (64&#176; S) in the Southern Ocean, south of Drake Passage citation needed.",conjecture.n.en.03
<b>Conjectures</b> and refutations in syntax and semantics.,conjecture.n.en.03
The Hodge <b>conjecture</b> for K&#228;hler varieties,conjecture.n.en.01
The original <b>conjecture</b> by Elliott stated that the Elliott invariant classifies simple unital separable nuclear C*-algebras.,conjecture.n.en.01
"* Kathryn Hess, A proof of Ganea's <b>conjecture</b> for rational spaces, Topology 30 (1991), no. 2, 205--214.",conjecture.n.en.01
This is known as the strong bellows <b>conjecture</b>.,conjecture.n.en.01
"Although von Neumann's name is popularly attached to the <b>conjecture</b> that the converse is true, it does not seem that von Neumann himself believed the converse to be true.",conjecture.n.en.03
"Kuperberg A volume-preserving counterexample to the Seifert <b>conjecture</b>, Comment.",conjecture.n.en.01
This <b>conjecture</b> implies the Lefschetz conjecture.,conjecture.n.en.01
"This is based on the <b>conjecture</b> that because the recorded examples of Chinese music are ceremonial, and the ceremonies in which they were employed are thought to have existed ""perhaps more than one thousand years before Christ"" (J. A. Van Aalst), the musical compositions themselves were performed, even in 1000 BC, in precisely the manner prescribed by the sources that were written down in the seventh centuryAD.",conjecture.n.en.03
The <b>conjecture</b> is proved for the following classes of groups:,conjecture.n.en.03
"<b>Conjectures</b> regarding the meaning of the Vexations (and their title) were construed long after Satie's death (in most cases supported by little evidence), amongst others:",conjecture.n.en.03
"To put it algebraically, 2n + 1 = p + 2q always has a solution in primes p and q (not necessarily distinct) for n&gt; 2. The Lemoine conjecture is similar to but stronger than Goldbach's weak <b>conjecture</b>.",conjecture.n.en.01
"There are only two other squares known to be of the form n! + 1, supporting Brocard's <b>conjecture</b>.",conjecture.n.en.01
The <b>conjecture</b> has been proven for many special cases of union-closed set families.,conjecture.n.en.03
"Although <b>conjecture</b>, he may also have looked young for his age, as the same document describes him as being 30 on arrival in Tasmania, when he was in fact 40.",conjecture.n.en.03
