sentence,sense_id
"However, this <b>crossover</b> can backfire too.",crossover.n.en.03
"* March 8 &#8212; Hank Locklin, 91, Grand Ole Opry star, best known for his 1960 <b>crossover</b> hit, ""Please Help Me, I 'm Falling"".",crossover.n.en.03
"In a two-part <b>crossover</b> episode with The District, a CIA agent is murdered in Washington and the CIA is forced to join with the police force to find the killer.",crossover.n.en.03
"Often, the problems of bringing together two shows with different narrative ambitions makes the writing of a <b>crossover</b> burdensome.",crossover.n.en.03
There is no footbridge and a <b>crossover</b> at the level crossing is available to change platforms.,crossover.n.en.04
There are many <b>crossovers</b> between the Khaavren Romances and the Vlad Taltos novels.,crossover.n.en.03
"The album was intended as a <b>crossover</b> project for her, and although three of its singles were released to country radio, none reached Top Ten.",crossover.n.en.03
"During the DC vs. Marvel <b>crossover</b> series, he fought Wolverine and lost due to popular vote by real-life fans.",crossover.n.en.03
There was very little <b>crossover</b> between the various comics.,crossover.n.en.03
* Article on the Onslaught <b>crossover</b>,crossover.n.en.03
"*"" Rebellion"" for an episode with <b>crossover</b> plots and characters between the shows ""Buffy The Vampire Slayer"" and ""Angel"".",crossover.n.en.03
"As part of the Zero Hour company-wide <b>crossover</b>, the Legion's original continuity came to an end with Legion of Super-Heroes (vol.",crossover.n.en.03
"In 1971, Anderson hit number three in the United Kingdom with the song, making it one of the most successful country <b>crossover</b> hits ever in Europe.",crossover.n.en.03
There is also a <b>crossover</b> into art with the Stuckists art group.,crossover.n.en.03
"The <b>crossover</b> ramp to southbound or New York City-bound trains was inside the depot until 2006, when Metro-North razed the ramp and built one a few steps to the south, with a higher clearance for projected double-deck trains.",crossover.n.en.04
"Work on a pair of 1997 Image/Marvel Comics <b>crossover</b> titles, Spider-Man/Badrock"" [(ComicBookDB.com)",crossover.n.en.03
"Other themes include the concept of precognition, or premonition, perhaps becoming a popular cultural <b>crossover</b> from Asian beliefs about the unknown- since this film was a remake of a Hong Kong horror flick, and still retains Asian themes in the 2008 version.",crossover.n.en.03
*optical computers use <b>crossover</b> switches,crossover.n.en.04
The BMW X Series is a collective name for crossover SUVs where the X refers to it being a <b>crossover</b> where the numeric suffix refers to the company's number-series sedans it derives from.,crossover.n.en.03
"In 2005, Slate writer Brandon Stosuy noted that ""Heavy metal has recently conquered a new frontier, making an unexpected <b>crossover</b> into the realm of hipsterdom.""",crossover.n.en.03
"It should be noted that while writers and editors have generally ensured that events occurring in spin-offs and their parent series are usually mutually consistent with each other, so that events in one such strip do not contradict events in another, much less care if any is taken to ensure a uniform continuity between <b>crossover</b> series.",crossover.n.en.03
"""Here"" was co-written by Jeffrey Steele and Steve Robson, both of whom also co-wrote the group's <b>crossover</b> hit ""What Hurts the Most"" from late 2005-early 2006.",crossover.n.en.03
Most manufacturers of active electronic audio <b>crossovers</b> responded to this requirement by adding an optional CD EQ boost filter or high frequency shelf filter.,crossover.n.en.03
"In a <b>crossover</b> with the early Superman mythos, it is Lex Luthor who helps the Martians.",crossover.n.en.03
"However, there is a <b>crossover</b> between what is commonly expressed as international marketing and global marketing, which is a similar term.",crossover.n.en.03
Dave Stone has said it was originally planned to be a <b>crossover</b> with Judge Dredd (Virgin held the rights to the books at the time) but this plan was scrapped after the release of the Dredd movie.,crossover.n.en.03
The Serpentor in the G.I. Joe vs. the Transformers <b>crossover</b> published by Devil's Due Publishing has a very different origin.,crossover.n.en.03
Camilla Kerslake is a 2009 album by classical <b>crossover</b> artist Camilla Kerslake and was released on 23 November in the UK.,crossover.n.en.03
The automotive press has speculated that the Escalade nameplate may move to the Lambda <b>crossover</b> platform.,crossover.n.en.03
"*Judas is present in the <b>crossover</b> game Namco X Capcom, which also features Stahn and Rutee from Tales of Destiny.",crossover.n.en.03
"Although originally conceived as a children's programme, it quickly acquired a cult <b>crossover</b> following amongst many adults.",crossover.n.en.03
"Star Trek <b>crossover</b> Barbara Hambly's Star Trek novel Ishmael has Spock travelling back to the time and place of Here Come the Brides after discovering a Klingon plot to destroy the Federation by killing Aaron Stempel (spelled ""Stemple"" in the book) before he could thwart an attempted 19th-century alien invasion of Earth.",crossover.n.en.03
"This is the biggest advantage of L-R crossovers compared to Butterworth <b>crossovers</b>, whose summed output has a +3 dB peak around the crossover frequency.",crossover.n.en.03
A <b>crossover</b> point is selected on the parents.,crossover.n.en.01
Gotham City is destroyed by an earthquake in the Cataclysm <b>crossover</b>.,crossover.n.en.03
"Just north of Gun Hill Road, the IRT Third Avenue Line used to split from the local tracks (with <b>crossovers</b> to the express tracks just to the north).",crossover.n.en.04
"Events involving meiosis, showing chromosomal <b>crossover</b>",crossover.n.en.01
Shine is the second album released by the classical <b>crossover</b> string quartet Bond.,crossover.n.en.03
"Atom's first appearance in a DC comic was in Justice League of America #137, a <b>crossover</b> issue depicting Captain Marvel's first meeting of Superman.",crossover.n.en.03
"The Golden Girls was created by Susan Harris, who later devised Empty Nest as a spin-off from The Golden Girls with some character <b>crossovers</b>.",crossover.n.en.03
* Ape Nation (a <b>crossover</b> featuring elements from Alien Nation and Planet of the Apes),crossover.n.en.03
"The 1996 one-shot"" Batman/Captain America"" was a Marvel/DC <b>crossover</b> book and cited as an ""Elseworlds"" but that was due to the plot, which imagined the two heroes co-existing in 1945.",crossover.n.en.03
"In 2005 Dunietz joined The Midnight Peacocks- a hard-core rock trio from Tel Aviv, playing music they like to define as ""circus-core"" &#8211; a <b>crossover</b> between hard-core, oriental and cabaret.",crossover.n.en.03
"Neither of these comics are considered canonical; however, in a JLA/JSA <b>crossover</b> in JLA and in JSA #78&#8211;80 it was revealed that both Mxyzptlk and Thunderbolt come from the 5th Dimension.",crossover.n.en.03
"Shai Hulud was one of the first hardcore/metal <b>crossover</b> band that used the term ""metalcore"" to describe their music, by many fans the band is considered to be ""a true metalcore band "", although Shai Hulud's sound totally differs from what is called ""metalcore ""nowadays.",crossover.n.en.03
