sentence,sense_id
"AHCI gives software developers and hardware <b>designers</b> a standard method for detecting, configuring, and programming SATA/AHCI adapters.",designer.n.en.02
"A 1984 graduate of the California Institute of the Arts, Sanders began his career as a character <b>designer</b> for Muppet Babies.",designer.n.en.02
"Seeking better performance and fulfillment of the Air Ministry Specification E.38/46, Hawker Aircraft's chief <b>designer</b> Sydney Camm created the Hawker P.1052, which was essentially a Sea Hawk with a 35-degree swept wing.",designer.n.en.02
"Steve Young (aka: Youngblood) is an engineer, filmmaker, <b>designer</b>, publisher, guitarist, and songwriter.",designer.n.en.02
"Permission by <b>designer</b>, author and webmaster of www.theaxa.com",designer.n.en.03
"*John Gregory Crace (<b>designer</b>), English interior designer",designer.n.en.01
"* Michael Peters (<b>designer</b>), British designer",designer.n.en.02
Michael Mearls is a writer and <b>designer</b> of fantasy role-playing games (RPGs) and related fiction.,designer.n.en.03
"The designer, also known for his work with the Scissor Sisters, was Jackson&#8217;s chief costume <b>designer</b> for the London"" This Is It"" show.",designer.n.en.05
"Gain publicity for your firm, make your designs the bench-mark of the industry and inspire a new generation of young <b>designers</b>.",designer.n.en.05
"* Bill Davis (artist) (born 1949), American illustrator, animation director and designer, graphic <b>designer</b> and painter",designer.n.en.03
Yiannis Evangelidis or Evangelides (Greek: &#915;&#953;&#940;&#957;&#957;&#951;&#962; &#917;&#965;&#945;&#947;&#947;&#949;&#955;&#943;&#948;&#951;&#962;) is a <b>designer</b>.,designer.n.en.02
"In addition, Lloyd serves as sound <b>designer</b> for Placebo.",designer.n.en.02
"On the runway he initially told the judges that the designs were sewn, but after being called out by fellow <b>designers</b> he admitted that he drew them on.",designer.n.en.05
Tricia Guild is known for her bold and original fabric and wallpaper collections and her work as a <b>designer</b> and manufacturer on a vast and broad range of home interior products.,designer.n.en.01
"On the other hand, ""Emilio"" and his lawyer,"" Jean Paul"", were jailed after being found guilty of fraud, but, since they were rich, they enjoyed privileges that most jailmates ca n't, such as their own private lavatories, private television sets and catering, clean, <b>designer</b> clothes and other things.",designer.n.en.05
"Ghesqui&#232;re&#8217;s collections are ineffably cool and cutting-edge, but they have also had a huge commercial impact; not so much in terms of what he sells himself (his is a rarefied, high-end designer product) but through his influence on other <b>designers</b>.",designer.n.en.05
The same event was repeated in The King of Fighters 2002; the <b>designers</b> created another clone from Kyo called Kusanagi to include his school uniform design.,designer.n.en.05
