sentence,sense_id
"The Second Battle of Manzanillo was a naval <b>engagement</b> of the Spanish American War on July 1,1898.",engagement.n.en.01
The Society has about 2500 <b>engagements</b> every year.,engagement.n.en.02
"Despite the wounds, he was fortunate, as 119 of his 420 men were killed in the <b>engagement</b>.",engagement.n.en.01
An unexpected phone call brightens Mariko's mood as she customizes herself before departing for a euphoric nocturnal <b>engagement</b> with Yuusuke right on her heels wondering why Mariko exhibits herself at the flea market and if she has another guy ready to go.,engagement.n.en.02
I .e. undertake some consumer testing prior to implementing and <b>engagement</b> approach.,engagement.n.en.07
"HSDC has continued collaborations with various orchestras, including return <b>engagements</b> with the CSO, as well as performances with the National Arts Centre Orchestra (Ottawa) and the Saint Louis Symphony Orchestra.",engagement.n.en.05
"Finally the undefeated Polish armies converged on Warsaw and were preparing for a general <b>engagement</b>, when a courier from the capital informed the Commander in Chief that King Stanis&#322;aw August had acceded to the pro-Russian Targowica Confederation and had pledged the adherence of the Polish Army.",engagement.n.en.01
This unusual method of selection was used after the Admiralty board was unable to choose which members of the crew deserved the honour after a desperate <b>engagement</b> between a Q-ship and a German submarine off the Irish coast.,engagement.n.en.01
"However, Hiyo's father claims that since Kurou's <b>engagement</b> with Hiyo is still standing it means that Haine's engagement is not legitimate.",engagement.n.en.03
"A lopsided <b>engagement</b> that involved almost half the infantry and cavalry of the Regular Army caused the surviving warriors to lay down their arms and retreat to their reservations in January, 1891.",engagement.n.en.01
"At the Battle of Trafalgar, in 1805, the Spanish navy and the French Mediterranean fleet, attempting to join forces with the French fleets in the north for the invasion, were attacked by Admiral Lord Nelson at the head of a British fleet in one of history's greatest naval <b>engagements</b>.",engagement.n.en.01
Hoy describes these examples in his book Critical Resistance as an individual&#8217;s <b>engagement</b> in social or political resistance.,engagement.n.en.07
"An improved motor, with a total weight of kg () including kg () of propellant, increases the maximum range of the MIM-23B to M versions to km () and maximum <b>engagement</b> altitude to m ().",engagement.n.en.06
"59, 60 Aegus was after&#173;wards killed in an <b>engagement</b> between the cavalry of Caesar and Pompey.",engagement.n.en.01
"Middlebrook, p. 445 The 2nd Battalion thus became the only British battalion to receive two VCs during one <b>engagement</b> in the Second World War.",engagement.n.en.01
"Bursts of between 83 and 250 rounds are fired as determined by the target type, with an <b>engagement</b> range between 0.2 and 4.0 km and to an altitude of 4 km.",engagement.n.en.06
Fort Nisqually was never a military outpost and only one small military <b>engagement</b> was recorded in the fort's history.,engagement.n.en.01
It was also the final major <b>engagement</b> between U.S. forces and insurgent forces in New Mexico during the war.,engagement.n.en.01
"The acquisition of Clayton marked the beginning of Triple Canopy's transformation from being Iraq-centric, to becoming a global provider of security and risk management services ranging from short-term consulting <b>engagements</b> to management of security mega-projects around the world.",engagement.n.en.05
A major software company has identified that failure to execute load and stress tests occurred in about 1 of 10 <b>engagements</b>.,engagement.n.en.06
"The Battle of Mobile Bay of August 5, 1864, was an <b>engagement</b> of the American Civil War in which a Federal fleet commanded by Rear Admiral David G. Farragut, assisted by a contingent of soldiers, attacked a smaller Confederate fleet led by Admiral Franklin Buchanan and three forts that guarded the entrance to Mobile Bay.",engagement.n.en.01
"Over his decade&#8217;s long career, Xu Zhen has exhibited internationally, at museums and biennales, such as, Venice Biennale (2001, 2005), The Museum of Modern Art (New York, 2004), ICP (2004), Mori Art Museum (2005), PS1 (2006), Tate Liverpool (2007), etc. Xu Zhen&#8217;s curatorial experiments and <b>engagement</b> with an alternative art space and a website has complements and extends his conceptual practices.",engagement.n.en.07
This is the order of battle for the First Battle of Ypres fought from July 1 to November 18 1916 as one of the main <b>engagements</b> of the First World War.,engagement.n.en.01
"Therefore, the half-pass is much more difficult, requiring greater <b>engagement</b> and collection from the horse.",engagement.n.en.07
The capability of locking onto targets as far as 50 nautical miles (90 km) with an AIM-120 AMRAAM missile enables true beyond visual range (BVR) <b>engagement</b> of targets.,engagement.n.en.06
"Among its earliest recorded occurrences is the Battle of Wisconsin Heights, the penultimate <b>engagement</b> of the 1832 Black Hawk War between the United States militia and the Sauk and Fox tribes, led by Black Hawk.",engagement.n.en.01
"In the last decades of the 20th century, the Department of Defense business model was configured to support a military dependent on large-scale weapons systems and prepared for sustained, predictable battlefield <b>engagements</b> in specific parts of the world.",engagement.n.en.01
There she participated in the <b>engagement</b> with the Barrier Forts of Canton on 16 22 November 1856.,engagement.n.en.01
"Within only two years, via the theatres in Zittau, Kamenz and Freiberg, Saxony, and the Lobe-Theater in Breslau, he obtained an <b>engagement</b> at the Burgtheater, and arrived in Vienna in 1874 to take it up.",engagement.n.en.05
