sentence,sense_id
There are two black spots in front of the dorsal <b>fin</b> and a wide vertical white bar on base of the caudal fin.,fin.n.en.06
"The main difference between the two being that the distance from the nares to the base of the pectoral fin is greater than the length of the Ballyhoo's pectoral <b>fin</b>, while that difference is less than the length of the Balao halfbeak's pectoral fin ""Hemiramphus balao"".",fin.n.en.06
"Other exports include pet fish, shark <b>fins</b>, and seaweed.",fin.n.en.06
"The anal <b>fin</b> stretches the length of the body, while the dorsal and pelvic fins are absent.",fin.n.en.06
"Their bodies are compressed, elongate and scaleless; the small, slender pelvic fins (which are absent in only two species) are situated before the enlarged pectoral fins, and the tail <b>fin</b> is rounded.",fin.n.en.06
There was additional bracing to the tailplane and both it and the <b>fin</b> carried small movable trimming surfaces.,fin.n.en.05
The pectoral fins are somewhat elongate and the caudal <b>fin</b> is truncate.,fin.n.en.06
"In smaller rockets, one launch lug is generally considered enough, and is attached at the joint between one of the rocket's <b>fins</b> and the main rocket body.",fin.n.en.05
"The deepwater cisco was distinguished by usually having fewer than 33 gill rakers, relatively long pectoral <b>fins</b>, and unpigmented jaws.",fin.n.en.06
This Jack can be distinguished from the Pilot fish by the presence of a first dorsal <b>fin</b>.,fin.n.en.06
(Maui&#8217;s and Hector's are the only dolphins with a well-rounded black dorsal <b>fin</b>.),fin.n.en.06
"The company is best known for regulators, but also makes snorkels, masks, and <b>fins</b>.",fin.n.en.04
It moves mainly by undulating a long <b>fin</b> on its underside.,fin.n.en.06
"*2000- Sin <b>fin</b>, sin cont&#233;n, sin medida.",fin.n.en.01
"It is not a large species, with the largest reported capture being 25 cm, and it is distinguished readily from similar species by the prominent black dorsal <b>fin</b>.",fin.n.en.06
"It had a deep body, with long dorsal and anal <b>fins</b>, but had no pelvic fins.",fin.n.en.06
The combination of the presence of a dorsal <b>fin</b> with an ossified spinelet and the presence of pectoral-fin and dorsal-fin spines distinguishes the species of Cetopsidium from all other genera in the Cetopsinae.,fin.n.en.06
"The P.10 had a small <b>fin</b>, which with its horn balanced rudder formed a teardrop shape.",fin.n.en.05
Histoire de la <b>fin</b> d&#8217;un couple qui va mal.,fin.n.en.01
"Even though it only has two <b>fins</b>, it walks on four points, two on each fin.",fin.n.en.06
"As these fish swim, their pectoral <b>fins</b> are positioned to create lift which allows the fish to maintain a certain depth.",fin.n.en.06
"Hatchetfish will often jump out of the water when alarmed, propelled by their large, winglike pectoral <b>fins</b>.",fin.n.en.06
"The booster fires for about 4&#8211;5 seconds, and the main engine for about 22 seconds, by which time the missile is traveling at about Mach 3. The booster mounts four large cropped-delta wing <b>fins</b> with small control surfaces in their trailing edges, used to control roll.",fin.n.en.05
"In all species of Lamontichthys, there is one pectoral fin spine and seven pectoral fin rays on each fin, as opposed to the rest of Loricariinae species which have one pectoral <b>fin</b> spine and only six pectoral fin rays.",fin.n.en.06
The pelvic and pectoral <b>fins</b> are paired.,fin.n.en.06
"The fuselage had a semi-monocoque structure, with integral <b>fin</b> and low set tailplane ,a long greenhouse style canopy over the tandem cockpits, housing the pilot lying in a prone position above the rear of the engine, and the gunner/radio-operator facing aft behind him.",fin.n.en.05
The dorsal and anal <b>fins</b> also have dusky blotches.,fin.n.en.06
"In the study of heat transfer, a <b>fin</b> is a surface that extends from an object to increase the rate of heat transfer to or from the environment by increasing convection.",fin.n.en.03
"In fish, the scapular blade is a structure attached to the upper surface of the articulation of the pectoral <b>fin</b>, and is accompanied by a similar coracoid plate on the lower surface.",fin.n.en.06
"The tailplane was strut supported from below and sat on the <b>fin</b> just above the fuselage; it was straight edged and carried unbalanced, split elevators.",fin.n.en.05
"The second dorsal fin and the anal <b>fin</b>, as well as the finlets between those fins and the tail, are bright yellow, giving this fish its common name.",fin.n.en.06
The infected fish usually swims around scratching at things in the tank very rapidly and usually has its <b>fins</b> very close to its body.,fin.n.en.06
The pectoral <b>fin</b> has three or four lower rays free.,fin.n.en.06
The tail <b>fin</b> is rounded.,fin.n.en.06
"It is covered in silvery grey scales with blue iridescence dorsally, silvery white ventrally; upper part of the gills are covered with a dusky black spot; <b>fins</b> pale yellow and the mouth is large and oblique.",fin.n.en.06
"Both the dorsal and anal <b>fins</b> are large, extending for most of the length of the body.",fin.n.en.06
"Its dorsal <b>fin</b> is arched, its head is depressed, it has a distinctive occipital fossa on the back of the neck, and it is 35 centimeters long.",fin.n.en.06
