sentence,sense_id
Notes on the <b>flora</b> of the Indiana Dunes.,flora.n.en.01
He studied the local <b>flora</b> and fauna and established Millport as a significant area for marine biological research.,flora.n.en.01
"Their concern was not with the biology but the culture, as both countries already possessed similar <b>flora</b>.",flora.n.en.01
"Report on the <b>flora</b> of Pingelap Atoll, Caroline Islands, Micronesia, and observations on the vocabulary of the native inhabitants.",flora.n.en.01
They wished to investigate the connection between the <b>floras</b> of eastern United States and those of eastern continental Asia and Japan; and the line of demarkation between Arctic floras of America and Greenland.,flora.n.en.01
"George E. Schatz, Generic Tree <b>flora</b> of Madagascar, Royal botanic Gardens, Kew, Crowmwell Press, United Kingdom (2001) ISBN1-900347-82-2",flora.n.en.01
* Official list of endangered <b>flora</b> of BrazilAcanthaceae,flora.n.en.01
"&#8220;Zilli&#8217; were obviously influenced by the tendency to fill in the space by various motifs, each being repeated in the field according to its individual layout, and the overall result resembles a fancy garden with a rich and fairy-tale <b>flora</b>.",flora.n.en.01
"Appropriate natural features include spectacular waterfalls, caves, craters, fossil beds, sand dunes and marine features, along with unique or representative fauna and <b>flora</b>; associated cultural features might include cave dwellings, cliff-top forts, archaeological sites, or natural sites which have heritage significance to indigenous peoples.",flora.n.en.01
"The Toa Nuva of Air, Lewa is at peace with the skies and jungle of Le-Koro, flying upon its thick <b>flora</b>.",flora.n.en.01
The <b>flora</b> and fauna it sustains suggest a climate similar to that of the British Isles.,flora.n.en.01
"In January 2003, bushfires ravaged the Canberra region and spreading from Namadgi National Park devastated much of the <b>flora</b> and bush landscape around Michelago, particularly down from the Clearview Road toward the Murrumbidgee River.",flora.n.en.01
"* The comuna of Pinto, located 24 km to the southeast of Chill&#225;n, is an agricultural area with some beautiful rural areas where native <b>flora</b> and fauna can be found.",flora.n.en.01
"Due to its isolated coastal location, the Isle of Portland has an extensive range of <b>flora</b> and fauna; the coastline and disused quarries are designated as Sites of Special Scientific Interest.",flora.n.en.01
Illustrated <b>flora</b> of the northern states and Canada.,flora.n.en.01
"Its purpose is to collate from the many libraries, museums and other collections the taxonomy of Australia's estimated 2 million species of <b>flora</b> and fauna, including aquatic species.",flora.n.en.01
"However, despite the relatively high latitude, a wide variety of <b>flora</b> and fauna exists on the island and surrounding waters due to their location where tropical and temperate ocean currents converge.",flora.n.en.01
Her early years in Yorkshire gave her a love for all things <b>flora</b> and fauna.,flora.n.en.01
"The diverse and special <b>flora</b> and fauna of the province enjoys protection in a range of nature reserves, including:",flora.n.en.01
"Thus Dr. Birbal Sahni concluded from the fossils found in inter-trappean rocks that at that time estuarine conditions prevailed in India, and the <b>flora</b> belonged to the genera of plants found in London clay.",flora.n.en.01
"The park is privately owned and operated, its main focus being the preservation of Fiji's indigenous <b>flora</b> and fauna, including reptiles, bird life, amphibians, tropical fish, the Fiji Flying Fox (Fiji's only native mammal), insects, butterflies and a wide range of trees and shrubs.",flora.n.en.01
Laynie has a very distinct writing style that is influenced by <b>flora</b> and fauna and being in the present.,flora.n.en.01
