sentence,sense_id
"*2008- Emily Perez, 2005 graduate of the U.S. Military Academy, who died after an improvised explosive device exploded near her vehicle in Iraq and whose U.S. Army unit recognized her for her leadership after her death, and Doug Zembiec, a 1995 <b>graduate</b> of the U.S. Naval Academy who was a major in the U.S. Marines and had demonstrated heroism in several incidents before his death in Iraq.",graduate.n.en.01
"Recent <b>graduates</b> have been accepted at colleges including Notre Dame, West Point, Loyola, Georgetown, Xavier, Mount Saint Mary's, University of Dallas, University of Saint Thomas, Catholic University of America, and Marquette.",graduate.n.en.01
* <b>Graduates</b> accelerated degree in Ag Science/Banking at Bond University after failing first year twice.,graduate.n.en.01
"In 1965, Lawrence enrolled at the University of Western Australia in Perth, and graduated as a Bachelor of Psychology with First Class Honours in 1968, having won five prizes including that for the most outstanding <b>graduate</b> throughout the Faculties of Arts, Economics and Commerce, Law, Architecture and Education.",graduate.n.en.01
Nearly all <b>graduates</b> go on to attend colleges and universities.,graduate.n.en.01
"Third Lieutenant Leonidas I. Robinson (1877&#8211;June 6, 1891) was the first <b>graduate</b> of the School of Instruction of the Revenue Cutter Service to die in the line of duty.",graduate.n.en.01
Chief J. E. Babatola who graduated in 1952 was first University <b>graduate</b> in Ado-Ekiti.,graduate.n.en.01
"The development of the computer facilities, course offerings, and other enhancements to the college community, clearly reflects Plaza&#8217;s history of responding to economic changes and demands of our <b>graduates</b>.",graduate.n.en.01
"The University of Maryland offers 127 undergraduate degrees and 112 <b>graduate</b> degrees in 13 different colleges and schools, which include:",graduate.n.en.01
"School superstition states that it is bad luck to step on the Class of 1900; additionally it is said that if one steps on the name of the first graduating class, you will never <b>graduate</b> from the University of Arkansas.",graduate.n.en.01
"Their presence has enriched the academic environment of the university and contributes significantly to the local business, cultural and civic environment after they <b>graduate</b>.",graduate.n.en.01
<b>Graduate</b> and Professional Schools,graduate.n.en.01
"Duke University <b>Graduate</b>, Professional Schools Rank High in Latest U.S. News Survey.",graduate.n.en.01
"It was named after Ben Slivka, a Northwestern <b>graduate</b> of 1982 who headed Microsoft's Internet Explorer team up to version3.0.",graduate.n.en.01
"Anthony Lawrence Azevedo (born November 21, 1981 in Rio de Janeiro, Brazil) is an American water polo player and a <b>graduate</b> of Stanford University.",graduate.n.en.01
2001- Fred MacAulayFred MacAulay- Scottish comedian and <b>graduate</b> (accountancy) of the university.,graduate.n.en.01
VCFA is the only <b>graduate</b> school in the United States devoted solely to low-residency graduate degrees.,graduate.n.en.01
"Since then, the college has been lauded for expanding and enhancing the curricula and educational facilities to include a <b>graduate</b> school for each the four departments, enriching the educational program and providing an education based on the spirit of Catholicism.",graduate.n.en.01
"The classes are held regularly on Fridays and Saturdays from 8:00 a.m. to 1 p.m.Typically, a participant can <b>graduate</b> in 2 and 1/2 years to 2 years 9 months, while continuing their regular work.",graduate.n.en.01
A <b>graduate</b> of the University of Vilnius in 1929.,graduate.n.en.01
"* The Arkansas State Medical Board banned STMU <b>graduates</b> from medical licensing in that state, and STMU graduates are ineligible for residency or fellowships at the University of Arkansas College of Medicine.",graduate.n.en.01
