sentence,sense_id
"She is a self-willed and intelligent woman interested in new technological inventions, and while this is anything but spectacular today, it might have been more unusual for the hero and the <b>heroine</b> to be so equal back then.",heroine.n.en.01
"In women's local color fiction, the <b>heroines</b> are often unmarried women or young girls.",heroine.n.en.01
"This tale is the closest analogue to The Twelve Dancing Princesses, but reverses the role, in that the <b>heroine</b> goes after the dancing prince, and also the tone: the princesses in The Twelve Dancing Princesses are always depicted as enjoying the dances, while in the much darker Kate Crackernuts, the prince is forced by the fairies to dance to exhaustion, and is an invalid by day.",heroine.n.en.01
"Like the hero and <b>heroine</b> of that novel, the two main characters, who have been childhood sweethearts separated by circumstances, almost get a second chance later in life; however, here one of them is married.",heroine.n.en.01
"On this basis he argues that whilst 1980s horror film <b>heroines</b> were more progressive than those of earlier decades, the gender change is done conservatively, and the final girl trope cannot be regarded as a progressive one ""without more thorough investigation"".",heroine.n.en.01
"Wood and Massary were supported by Griffith Jones as the young peer who falls in love with the <b>heroine</b>, and Irene Vanbrugh as his mother.",heroine.n.en.01
"A Scandavian variant,"" Harra P&#230;tur &amp; Elinborg"", the hero set out on a pilgrimage, after asking the <b>heroine</b>, his betrothed, how long she would wait for him; she says, eight years.",heroine.n.en.01
", pp. 16 and 18 In 1875 she played Deborah in The Spendthrift and May Edwards, the <b>heroine</b> in The Ticket of Leave Man.",heroine.n.en.01
"Following the announcement of the project, Kajal Aggarwal was rumoured to be the <b>heroine</b>, following her successful role in Pazhani.",heroine.n.en.01
"The violent act of the princess, throwing the frog against the wall, is a common folkloric trait of undoing shapeshifting magic, and not even the most violent; in The Tale of the Queen Who Sought a Drink From a Certain Well and the English The Well of the World's End, the <b>heroine</b> must behead the frog to transform it to a prince.",heroine.n.en.01
"Became one of the <b>heroine</b>'s most persistent archenemies, and even managed to unmask her in one episode.",heroine.n.en.01
"In the eighteenth century the site was the home of Jane Tuers, a member of the Van Rypen family and an American Revolutionary War <b>heroine</b>.",heroine.n.en.02
"One week we see her salon drawn by Mr. Du Maurier in Punch, with sketches from the life of herself and her friends; the week after she appears under another name as the <b>heroine</b> of one of those quasi-malicious town and country tales which amuse the readers of a society paper &#8230;",heroine.n.en.01
Her first film as a <b>heroine</b> was Utrada Ratri.,heroine.n.en.01
"Hoeveler identifies in the text what she calls ""Gothic feminism"", an ideology that values the persecuted <b>heroine</b> above all: it ""is not about being equal to men ""but rather"" about being morally superior to men.",heroine.n.en.01
"* Janet Shaw as Elise Halliday, <b>heroine</b>",heroine.n.en.01
"The first schedule of film shooting started on 3 November 2008, when scenes involving' Mirchi' Shiva,'Darbuka' Siva and <b>heroine</b> Madhu Shalini were shot in East Coast Road in Tamil Nadu.",heroine.n.en.01
Karuna (Name of the <b>heroine</b>) is the daughter of a police officer who brings her up with strict decipline.,heroine.n.en.01
:Koubu/Koubu-Kai/Jinbu/Tenbu/Koubu-F/Koubu-F2/Koubu Nishiki Unit/Soubu +( <b>heroine</b>),heroine.n.en.01
The <b>heroine</b> demands of William that he will marry her or kill her.,heroine.n.en.01
