sentence,sense_id
Silvergate serves the North American toy and <b>hobby</b> market with a variety of products.,hobby.n.en.01
"The character of the neighbourhood is predominantly rural, with many small <b>hobby</b> farms and pockets of forest.",hobby.n.en.01
"His <b>hobbies</b> include hunting, fishing, golfing, and water skiing.",hobby.n.en.01
"At first he appears to be something of a physically-developed nerd, obsessed with his <b>hobby</b>.",hobby.n.en.01
"Later, when serving in the United States Navy, he pursued every available opportunity to work with new tools and materials, gravitating toward the machine shop on his ship and the <b>hobby</b> shops on the base, where he made furniture.",hobby.n.en.01
"Coin roll hunting (often abbreviated ""CRH"") is the <b>hobby</b> of searching change pulled from circulation for collectible coins.",hobby.n.en.01
"She also has <b>hobbies</b> that are very un-feminine, such as smoking, being a fan of pro wrestling, K-1, and sh&#333;nen anime.",hobby.n.en.01
"A <b>hobby</b> is a fairly small, very swift falcon with long, narrow wings.",hobby.n.en.03
"They had been singing as a weekend <b>hobby</b> with Will's father and sister, and so Will invited the two young travellers to sing on his TV show.",hobby.n.en.01
Richard had been an amateur photographer prior to the surgery but expected to have to give up that <b>hobby</b> after losing most of his vision.,hobby.n.en.01
"He was born at Fontaneto d'Agogna, near Novara, Piedmont, of humble parents and is said to have trained as a carpenter, playing violin as a <b>hobby</b>.",hobby.n.en.01
"Binky's <b>hobbies</b> include heli-skiing, rugby, and football.",hobby.n.en.01
"Finally, besides the hundreds of specialized magazines that serve the diverse interests and <b>hobbies</b> of the American people, there are also dozens of magazines published by professional organizations for their members, such as Communications of the ACM (for computer science specialists) and the ABA Journal (for lawyers).",hobby.n.en.01
"She eventually takes up Yorito's <b>hobby</b> of taking pictures of clouds in the early morning, although she has no more memories of him.",hobby.n.en.01
A <b>hobby</b> is a typical example.,hobby.n.en.01
Yanagi's <b>hobbies</b> are hanging with friends and karaoke.,hobby.n.en.01
"For the most part it is a relatively inexpensive <b>hobby</b>, when compared with coin collecting, stamp collecting or Barbie collecting, with mainline cars costing about $1 (USD) at retail.",hobby.n.en.01
"As CEO Greg Waldorf explained, &#8220;It 's not about matching people who like certain <b>hobbies</b>... it 's about compatibility.",hobby.n.en.01
"Local and indigenous traditions of public life, festivals, rituals or stories as well as <b>hobbies</b> and enthusiasms.",hobby.n.en.01
"Like many other <b>hobbies</b>, Scratch and Sniff stickers (Sniffstickers) eventually became sought after like Baseball Cards, Comic Books, rare coins, etc..",hobby.n.en.01
"The other half had to do with his mother having enjoyed dressing up her son in female clothing and taking photographs of him as her <b>hobby</b>, though Mei is not aware of this half of the reason for his upbringing.",hobby.n.en.01
"For most or all of his long acting career, Leiber (Sr.) had an interesting <b>hobby</b>: each time he performed a new role, he had his likeness or portrait made in costume and make-up for that role.",hobby.n.en.01
