sentence,sense_id
"*""The College's <b>integration</b> of technology into the curriculum has had a distinctive impact on the institution's academic culture, and was viewed by the team as an exemplar of technology planning and integration.""",integration.n.en.02
"During the days of vertical <b>integration</b>, studios produced, distributed, and exhibited their own films.",integration.n.en.02
"It is reflected in the product portfolio operators offer (vertical integration), and in the channels through which their products are sold and serviced (horizontal <b>integration</b>).",integration.n.en.02
"Neofunctionalists focused their attention in the process of <b>integration</b> among states, i .e. regional integration.",integration.n.en.02
"*He was awarded an academic degree as candidate of politics and law in 1964, and he received a doctorate in 1974 with his dissertation ""The company and economic competition in the law of European economic <b>integration</b>"".",integration.n.en.02
"''"" Lublin is the city that symbolises European idea of <b>integration</b>, universal heritage of democracy and tolerance and the idea of dialogue between the cultures of the West and East.",integration.n.en.02
"An outstanding feature of the TI series is ""Total <b>Integration</b>"": It is currently the only synthesizer that can be fully integrated in a current computer based audio workstation as a VST or AU plugin, including the advantages of sample accurate MIDI timing, host automation as well as total recall.",integration.n.en.02
*MissionEngine: Multi-system <b>integration</b> using Python in the Tactical Language Project,integration.n.en.02
"HL7 is an international community of healthcare subject matter experts and information scientists collaborating to create standards for the exchange, management and <b>integration</b> of electronic healthcare information.",integration.n.en.02
"A second order method is leapfrog integration, but higher-order <b>integration</b> methods such as the Runge&#8211;Kutta methods can be employed.",integration.n.en.02
"The TMF has established a set of principles that a OSS <b>integration</b> should adopt, along with a set of models that provide standardized approaches.",integration.n.en.02
"Beyond that, though, there are challenges at each level of <b>integration</b>.",integration.n.en.02
"Enterprise <b>integration</b> according to Vernadat is a rapidly developing technical field which has already shown proven solutions for system interconnection, electronic data interchange, product data exchange and distributed computing environments.",integration.n.en.02
He is known for the introduction of the Prairie Style to the Caribbean and the <b>integration</b> of Arts and Crafts elements to his architecture.,integration.n.en.02
", Wrike was developed in an <b>integration</b> with email Richard Morochove (July 23, 2007).",integration.n.en.02
Social networking <b>integration</b> with direct file uploads,integration.n.en.02
The department also aims at developing the importance of national <b>integration</b> through its study and research programmes.,integration.n.en.02
"Because cells in the MEC encode information about position (grid cells) and movement (head direction cells and conjunctive position-by-direction cells), this area is currently viewed as the most promising candidate for the place in the brain where path <b>integration</b> occurs.",integration.n.en.02
This can be calculated directly via parametrization (<b>integration</b> by substitution) where 0 &#8804; t &#8804; 2&#960; and &#949; is the radius of the circle.,integration.n.en.03
"Since 1948, the European Movement has lobbied for further <b>integration</b>, on numerous subjects.",integration.n.en.02
"Within these non-exclusive classifications, the following noncommutative (NC) topics are included: NC algebraic geometry; NC rings (local &amp; semilocal); NC unique factorization domain; NC Jordan algebra; NC measure and <b>integration</b>; NC function space; NC probability &amp; statistics; NC dynamical system; NC topology; NC differential geometry; NC mathematics based on C*-algebra; and NC geometry &amp; methods.",integration.n.en.03
Maverick .NET is a Maverick port from Java to C# for its <b>integration</b> in the .NET platform.,integration.n.en.02
It supports the European <b>integration</b> and a strong partnership with the United States.,integration.n.en.02
A new system for <b>integration</b> of GLSL shaders and soft body physics was added in the 2.48 release to help bring the game engine back in line with modern game engines.,integration.n.en.02
"It is an example of what is called a nested quadrature rule: for the same set of function evaluation points, it has two quadrature rules, one higher-order and one lower-order (the latter called an embedded rule), and the difference between these two approximations is used to estimate the calculational error of the <b>integration</b>.",integration.n.en.03
Now note that at each separate time is a separate <b>integration</b> variable.,integration.n.en.03
"The organization comprises educators, students, and others who share this ideal and are interested in working together to make high quality curricula and other resources available to encourage the <b>integration</b> of the ideas and methods of nonviolence into any type of education system.",integration.n.en.02
He was in favour of horizontal <b>integration</b> instead of continuing with a sector by sector integration along the lines of the European Coal and Steel Community The Beyen Plan The Netherlands: From Eurscepticism to Europhoria,integration.n.en.02
"Despite these successes, <b>integration</b> issues were long apparent.",integration.n.en.02
"The Internet continues this <b>integration</b>, further eroding the town/country divide.",integration.n.en.02
"With 1.1 versions and above, bbPress is seamlessly integrated within BuddyPress allowing for single sign-on and one click forum <b>integration</b>.",integration.n.en.02
* Vertical <b>integration</b> to get cost advantage,integration.n.en.02
"*1970 to celebrate the <b>integration</b> of the (female) Racliffe students into the traditionally all-male Harvard Houses (upper class dormitories), the band suggested that language study would be particularly improved by these ""cunning linguists.""",integration.n.en.01
