sentence,sense_id
The sorcerer was so furious that he threw the rainbow together with the <b>jewels</b> into the lake.,jewel.n.en.01
"However, when they arrive there, they become unwittingly involved in a jewel theft when the thief Le Pirate decides to use them to smuggle some precious <b>jewels</b> out of the country.",jewel.n.en.01
"Taking the ship and Betty's parents with them, Greenbeard leaves Earth for Pacula to make another attempt at the <b>jewels</b>.",jewel.n.en.01
"Tohsaka Rin, Shir&#333;'s classmate and Archer's master, feels guilty about involving Shir&#333; and saves his life using her strongest healing <b>jewel</b> (a memento given to her by her father).",jewel.n.en.01
"<b>Jewel</b> is especially known for her hip swivels, which remain admired and unrivaled to this day.",jewel.n.en.02
"In order to subvert Li, Han found a beautiful woman who he had trained in singing, dancing, music and the game of Liubo, and dressed in fine clothes and luxurious <b>jewels</b>.",jewel.n.en.01
"Meanwhile at GemDiver, the twins go fishing for Corusca gems, indestructible <b>jewels</b> that can cut through the toughest armor.",jewel.n.en.01
No evidence exists that that tiara ever contained <b>jewels</b> outside the three crowns.,jewel.n.en.01
Eventually the thief retrieves the stolen <b>jewel</b> and a chase ensues.,jewel.n.en.01
"In the game, the player is an american agent who must secretly steal the crown <b>jewels</b> in 12 hours.",jewel.n.en.01
"""Black"" Lena Kleinschmidt (born 1835) was a New York criminal who, as a prominent <b>jewel</b> thief during the late 19th century, was an associate of fence Fredericka ""Marm"" Mandelbaum and Adam Worth.",jewel.n.en.01
She has a green <b>jewel</b> in the center of her forehead with which to shoot a laser at her enemies.,jewel.n.en.01
"Between 1976 and 1980, Golder allegedly stole an estimated $25 million dollars worth of <b>jewels</b> and cash.",jewel.n.en.01
"Batman managed to rescue the actual Smithington, but was unable to recover the stolen <b>jewels</b>.",jewel.n.en.01
"Alex and Jess empty a house by faking a security survey and a prize draw; in Ibiza, the team sell fake <b>jewels</b>; Paul wins a proposition bet involving money and your third finger; Alex swaps the padlock from a fitness club attender and clears out his locker; and the hustlers sell bogus miracle fat-busting products.",jewel.n.en.01
"Further in the same direction is the coast of the Adriatic Sea, with a <b>jewel</b> of Venetian Gothic, Piran.",jewel.n.en.01
"His work from Insect Lab, specifically a <b>jewel</b> beetle, appeared on the cover of Tachyon Publications ""The New Weird"" compiled and edited by Jeff and Ann Vandermeer.",jewel.n.en.01
"Double albums can either be packaged in standard-thickness jewel cases with hinged media trays (which can be lifted up to reveal the second disc) or in a ""double jewel case "", sometimes called a multi-CD <b>jewel</b> case, which is slightly larger than two normal jewel cases stacked on top of each other, and can hold 4 or even 6 CDs.",jewel.n.en.01
"The crown <b>jewel</b> of the parks system continues to be the 25-acre Woodland Gardens, locally known at the ""Duck Pond.""",jewel.n.en.01
"Lady Agnes Keith, Undiscovered Scotland, retrieved 9 March 2009 She also obtained most of Queen Mary's <b>jewels</b> which were left behind in James's care after the queen was removed to Lochleven Castle.",jewel.n.en.01
"Though not officially within the district, the Carson Mansion, the undisputed Victorian <b>jewel</b> of the city and region, commands the highest elevation at the eastern edge of the district.",jewel.n.en.02
The Bidford Bobble-- this is the smallest of the <b>jewels</b>.,jewel.n.en.01
The sorority <b>jewel</b> is the pearl.,jewel.n.en.01
"Some things require a little more intensity, commitment and grind, and our faith is certainly one of those <b>jewels</b>, &#8221; citation needed states The Ambassador.",jewel.n.en.02
"Eventually they found gold <b>jewels</b>, Chinese porcelain, silverware, gold and silver ingots, and as many as 10,000 gold cobs of the Mexico, Peru, and Colombia mints; and, mostly in encrusted clusters, well over 100,000 silver cobs of all denominations.",jewel.n.en.01
"The <b>jewels</b>, or the Brilyante, are gemstones which are pivotal to the existence and balance of the world of Encantadia.",jewel.n.en.01
"On the way to the thanksgiving service at St Paul's Cathedral, Sarah engaged in a furious argument with Anne about the <b>jewels</b> Anne wore to the service, and showed her a letter from the Duke of Marlborough which expressed hope that the Queen would make good political use of the victory.",jewel.n.en.01
Some have accused her of betraying the family by taking money from them and later informing their guards that the Romanov children had sewed <b>jewels</b> into their clothing.,jewel.n.en.01
"The standard edition comes in a regular <b>jewel</b> case, with a black album color, while the limited edition comes as a digipak, with a cream-white album cover.",jewel.n.en.01
It was equipped with many golden walls decked with <b>jewels</b> and gems.,jewel.n.en.01
"South Korea is one of the world's top ten cultural exporters and the Korean wave began with the export of Korean TV dramas such as Autumn Fairy Tale, Winter Sonata, Dae Jang Geum (<b>Jewel</b> in the Palace), Princess Hours and Boys Over Flowers across East and Southeast Asia; the growing success of Korean dramas was soon matched by Korean movies, popular music, food and language.",jewel.n.en.02
"He was able to recapture four cities from Tufan, and when he returned to Chengdu, Yan showed his favor to Cui by making a wagon with seven kind of <b>jewels</b> to welcome him back into the city.",jewel.n.en.01
"In the Columbia features, Boston Blackie is a reformed <b>jewel</b> thief who is always suspected when a daring robbery is committed.",jewel.n.en.01
"According to King Edward I's <b>jewel</b> account for that regnal year (12 Edward I), the crown was recoated in gold plating to make it look more impressive (which suggests that it may have been made of iron).",jewel.n.en.01
"Buttons McBoomBoom hates bugs and expresses this in a hostile way when he tries to take on the Bugman's army of bugs in The Case of the Baffling Bugman, where he obviously developed a sheer hatred of bugs from, and The Case of the Stashed Cash where he tries to blasts away at a ""crummy fly"" that 's annoying him at the penthouse poolside, when he was surrounded by a bunch of moths when he crashed into a stack of old clothing at the abandoned West Side Laundry, a place that once served as a hideout for Suds Sparko, and lastly in the opening intro when he takes on a butterfly shown to actually be its shadow he 's firing at as Nightshade tries to rob a wardrobe filled with <b>jewels</b>.",jewel.n.en.01
