sentence,sense_id
There is also the option for many families to build scattered-site homes on their traditional homesite <b>lease</b>.,lease.n.en.02
He was negotiating with a department store company called Waltons Stores for a <b>lease</b> of the land.,lease.n.en.02
The mall has reported grossable <b>lease</b> space for the entirety of its complex including surrounding properties to the ICSC.,lease.n.en.01
But a 1-0 win over struggling Plymouth Argyle gave Forest a new <b>lease</b> of life and they made it consecutive wins after a 2-0 win over Scunthorpe United.,lease.n.en.03
"The dock is now operated by The Bristol Port Company, who also operate Avonmouth Docks, and have done since 1991 when they purchased a 150 year <b>lease</b> from Bristol City Council.",lease.n.en.02
"Some of the provisions under the new Minerals and Mining Law, law No. 703, included access to mineral rights on a first-come, first-considered basis; a specific timeframe within which all applications are expected to be granted; the right for applicants to demand written reasons from the Minister if an application is rejected; the Government&#8217;s right to acquire land or authorize its occupation and use if the land is required for mining purposes; the establishment of a cadastral system for the administration of mineral rights; a provision establishing the range of royalty rates, which is not to be less than 3 % or exceed 6 % of total mining revenues; the Government&#8217;s right to obtain a 10 % free-carried interest in mining leases; and the establishment of the period of duration of a mining <b>lease</b>, which is not to exceed 30 years and which may be renewed once for a period not to exceed an additional 30 years.",lease.n.en.03
"Constructed in 1922 as Watford moved from Cassio Road to the present ground, the stand was included as part of the stadium constructed with the financial help of Benskins' breweries, who initially handed the land to the football club on a 21-year <b>lease</b>.",lease.n.en.03
"Maldives granted the British a 100 year <b>lease</b> on Gan that required them to pay &#163;2,000 a year, as well as some 440,000 square metres on Hitaddu for radio installations.",lease.n.en.03
"In 1755 the 99-year <b>lease</b> on his lands in Meelick, Carrowrory and Carrowconnell expired.",lease.n.en.03
"The second skating rink was eventually demolished in 1920 after a fire, and the third rink in 1927 after its <b>lease</b> for the land expired.",lease.n.en.02
12 By 1968 NBI had arranged for the <b>lease</b> of an entire floor in the Empire State Building (which would have been shared with Barbara Branden's book club and The Objectivist).,lease.n.en.01
"In return, America gains 99-year <b>leases</b> on British bases in the North Atlantic, West Indies and Bermuda.",lease.n.en.03
The school has the option to buy the land during the <b>lease</b> period.,lease.n.en.03
At November 2009 the <b>lease</b> for the building was &#163;2.25 million a year.,lease.n.en.02
Partners in the theatres were partners in the <b>leases</b>.),lease.n.en.02
"In the U.S., rooming house <b>lease</b> agreements typically run for very short periods, usually week to week, or a few days at a time.",lease.n.en.02
In 2004 the law firm Lapin &amp; Landa LLP signed a <b>lease</b> agreement to occupy square feet (0 m 2) of space.,lease.n.en.02
