sentence,sense_id
"*Michell RH, Heath VL, Lemmon MA, Dove SK. (2006) Phosphatidylinositol 3,5-bisphosphate: <b>metabolism</b> and cellular functions.",metabolism.n.en.02
Molecular analysis of system N suggests novel physiological roles in nitrogen <b>metabolism</b> and synaptic transmission } } } } {{,metabolism.n.en.02
This enzyme participates in ether lipid <b>metabolism</b>.,metabolism.n.en.02
This enzyme participates in aminosugars <b>metabolism</b>.,metabolism.n.en.02
They origin from the bacterial secondary <b>metabolism</b>.,metabolism.n.en.02
"In peripheral tissues, lipoprotein lipase digests part of the VLDL into LDL and free fatty acids, which are taken up for <b>metabolism</b>.",metabolism.n.en.02
This enzyme participates in pyrimidine <b>metabolism</b>.,metabolism.n.en.02
A 2004 study exploring the difference in brain <b>metabolism</b> between heterosexual and homosexual males found that homosexuals had a significant reduction in hypothalamic glucose metabolism compared to that of heterosexuals with other brain regions including the prefrontal association cortex and portions of the cingulate cortex showing differences in the measured activation.,metabolism.n.en.02
"See also Amino acid <b>metabolism</b> enzymes, intermediates&lt;BR&gt;",metabolism.n.en.02
"The MAPEG (Membrane Associated Proteins in Eicosanoid and Glutathione <b>metabolism</b>) family consists of six human proteins, two of which are involved in the production of leukotrienes and prostaglandin E, important mediators of inflammation.",metabolism.n.en.02
Attempts to find anaesthetics with less <b>metabolism</b> led to halogenated ethers such as enflurane and isoflurane.,metabolism.n.en.02
This enzyme participates in glutamate metabolism and glutathione <b>metabolism</b>.,metabolism.n.en.02
This enzyme participates in riboflavin <b>metabolism</b>.,metabolism.n.en.02
"This enzyme participates in 3 metabolic pathways: glutamate <b>metabolism</b>, tyrosine metabolism, and butanoate metabolism.",metabolism.n.en.02
This enzyme participates in sphingolipid <b>metabolism</b>.,metabolism.n.en.02
"While at Cornell, David also conducted studies on the ability of pesticides to induce breakdown of steroids, to alter vitamin D <b>metabolism</b> and calcium up-take, and on the role of carbonic anhydrase and calcium ATPase in eggshell thinning.",metabolism.n.en.02
"In its astrobiology roadmap, NASA has defined the principal habitability criteria as ""extended regions of liquid water, conditions favorable for the assembly of complex organic molecules, and energy sources to sustain <b>metabolism</b>.""",metabolism.n.en.02
*The chemical logic behind the <b>metabolism</b> of fatty acid,metabolism.n.en.02
"In theory, therefore, fluconazole decreases the <b>metabolism</b> and increases the concentration of any drug metabolised by these enzymes.",metabolism.n.en.02
Physiologic saline has a fairly compatible osmolality and will not cause cell structure swelling but it lacks the metabolites and glucose necessary for maintenance of normal cell <b>metabolism</b>.,metabolism.n.en.02
Substances that support <b>metabolism</b>,metabolism.n.en.02
"Endowments include brawn (physical strength), grace (physical dexterity), wit (memory and clearness of thought), <b>metabolism</b> (speed at which the body's processes operate), glamor, voice, stamina, sight, hearing, smell, touch and taste.",metabolism.n.en.02
"Although the many forms of life on earth use a range of different nutrients, almost all carry out oxidative phosphorylation to produce ATP, the molecule that supplies energy to <b>metabolism</b>.",metabolism.n.en.02
"This enzyme participates in 3 metabolic pathways: fructose and mannose metabolism, purine <b>metabolism</b>, and starch and sucrose metabolism.",metabolism.n.en.02
This enzyme participates in nucleotide sugars <b>metabolism</b>.,metabolism.n.en.02
Metal metabolism (Iron <b>metabolism</b>) &#183; Ethanol metabolism,metabolism.n.en.02
This enzyme participates in beta-alanine <b>metabolism</b>.,metabolism.n.en.02
The beer head is created by the carbon dioxide produced as a byproduct of the <b>metabolism</b> of brewer's yeast acting upon starches and sugars found in the wort.,metabolism.n.en.02
The Dynamic Energy Budget (DEB) theory aims to identify simple quantitative rules for the organization of <b>metabolism</b> of individual organisms that can be understood from basic first principles.,metabolism.n.en.02
This enzyme participates in phenylalanine <b>metabolism</b>.,metabolism.n.en.02
"*First pass effect, a phenomenon of drug <b>metabolism</b>",metabolism.n.en.02
"The Institute's Division of Intramural Research encompasses the broad spectrum of metabolic diseases&#8212;including diabetes, obesity, inborn errors of <b>metabolism</b>, endocrine disorders, disorders of mineral metabolism&#8212;as well as digestive and liver diseases, nutrition, urology and renal disease, and hematology.",metabolism.n.en.02
"Blood sugar regulation &#8226; Calcium <b>metabolism</b> &#8226; Endocrine glands &#8226; Wolff&#8211;Chaikoff effect/Jodbasedow effect endocrine navs: anat/physio/dev/hormones, noncongen/congen/neoplasia, symptoms+signs/eponymous, proc",metabolism.n.en.02
[. [<b>Metabolism</b> of quinoline derivatives.,metabolism.n.en.02
"They also may lose less weight than other people, and may regain weight more quickly due to a slowing of the <b>metabolism</b>.",metabolism.n.en.02
"The ConsensusPathDB is a molecular functional interaction database, integrating information on protein interactions, signaling, <b>metabolism</b> and gene regulation in humans.",metabolism.n.en.02
"It was found to contain only 470 predicted coding regions, including genes required for DNA replication, transcription and translation, DNA repair, cellular transport, and energy <b>metabolism</b>.",metabolism.n.en.02
Genetic pituitary dwarfism with high serum concentation of growth hormone--a new inborn error of <b>metabolism</b>?,metabolism.n.en.02
Tissue in the muscles of the deceased resort to anaerobic <b>metabolism</b> in the absence of oxygen and significant amounts of lactic acid are released into the muscle tissue.,metabolism.n.en.02
