sentence,sense_id
"As minor planet discoveries are confirmed, they are given a permanent <b>number</b> by the IA U's Minor Planet Center, and the discoverers can then submit names for them, following the IA U's naming conventions.",number.n.en.08
:: <b>Number</b> of impurities in zone when first formed at bottom,number.n.en.01
A <b>number</b> of books make references to the poem.,number.n.en.01
"It is a day dedicated to practice, giving each team a <b>number</b> of practice rounds on the regulation playing field.",number.n.en.01
"In the inter-war period, <b>number</b> of residents risen to approximately 3500.",number.n.en.01
"* Barry Halper, baseball memorabilia collector and businessman, who was once a limited partner in the Yankees' ownership with George Steinbrenner; lived in Livingston for a <b>number</b> of years, died at Saint Barnabas Medical Center in Livingston.",number.n.en.01
"Station patronage has, however, now"" jumped ""according to the Community Rail Partnership which attributes the rise to the creation of significant <b>numbers</b> of jobs in the area.",number.n.en.01
"The film was met with mixed reviews, but became a box office success, scoring the <b>number</b> one spot in its opening week.",number.n.en.05
"However, a small <b>number</b> used the characters &#34945; or &#33489;.",number.n.en.01
"Decca 78s were originally given 3-digit numbers, Decca Records discography, numbers 100 to 499 Decca Records discography, <b>numbers</b> 500 to 999 going to 4 digits in 1936 Decca Records discography, numbers 1000 to 1499 Decca Records discography, numbers 1500 to 1999 and passing 2000 in late 1938 Decca Records discography, numbers 2000 to 2499 Decca Records discography, numbers 1500 to 1999 and 3000 about 1940.",number.n.en.05
"After returning to Cambodia in 1966, Saloth organized a party meeting where a <b>number</b> of important decisions were made.",number.n.en.01
"But, that first time, tied to my waist, under my clothes, was a wide black cloth belt containing bank-notes for Prosper, a <b>number</b> of blank identity cards and a number of ration cards; while tucked into the sleeves of my coat were crystals for Prosper's radio transmitters; the crystals had been skilfully secured to my sleeves by Vera Atkins herself, before my departure from Orchard Court.",number.n.en.01
"The knife must be minimally 1.5 or 2 times as long as the animal's neck is wide, depending on the species of animal and the <b>number</b> of strokes needed to slaughter the animal, but not so long that the weight of the knife exceeds the weight of the animal's head.",number.n.en.01
"Powered monitors, by contrast, are much more convenient and streamlined single units which in addition have a <b>number</b> of technical advantages.",number.n.en.01
"To combat this attack, public key encryption schemes must incorporate an element of randomness, ensuring that each plaintext maps into one of a large <b>number</b> of possible ciphertexts.",number.n.en.01
The album reached <b>number</b> two on the UK albums chart and was certified double platinum by the British Phonographic Industry (BPI).,number.n.en.05
Indeed the possibility of different companies sharing assets caused a <b>number</b> of legal headaches.,number.n.en.01
