sentence,sense_id
The main <b>occupation</b> of the residents is agriculture and cattle breeding.,occupation.n.en.01
"The Mozarabic communities maintained some of the Visigothic churches that were older than the Arab <b>occupation</b> for the practice of their religious rites and were rarely able to build new ones, because, even though a certain religious tolerance existed, the authorizations for building new churches were very limited.",occupation.n.en.05
"Dan then lied to Harry about her <b>occupation</b>, saying that she is a nurse rather than a police officer.",occupation.n.en.01
"Edward Allen Gisburne (June 14, 1892 &#8211; June 29, 1955) was a Electrician Third Class in the United States Navy and a Medal of Honor recipient for his role in the United States <b>occupation</b> of Veracruz.",occupation.n.en.02
"During the <b>occupation</b> of Norway by Nazi Germany, he became involved in Hjemmefronten in 1940 and Milorg in 1941.",occupation.n.en.05
See also: Indonesian invasion of East Timor and Indonesian <b>occupation</b> of East Timor,occupation.n.en.05
"In 1864, with public support and private funding, Mercer traveled to the Eastern United States in search of single women to work in Seattle as teachers and in other respectable <b>occupations</b>.",occupation.n.en.01
One of the most important historical artefacts is the castle which dates from the 10th century during the Moorish <b>occupation</b>.,occupation.n.en.05
"At first the students' plan to only make a symbolic <b>occupation</b>, release statements to the press and leave when government security forces came to restore order, was reflected in placards saying `Do n't be afraid.",occupation.n.en.04
"The number of Jews murdered during the <b>occupation</b> of the city is estimated at approximately 10,000 people.",occupation.n.en.05
"By March 1921, 51,000 men had undertaken training in 421 <b>occupations</b>, of whom 72 per cent had since found work in that occupation.",occupation.n.en.01
She also participated in the <b>occupation</b> of Veracruz in 1914.,occupation.n.en.02
"' I stole the show' &#8211; Ha'aretz Israel's Mr TV blasts occupation &#8211; BBC Top Israeli news anchor attacks <b>occupation</b> &#8211; The Guardian At the time, Ariel Sharon's disengagement plan had not yet been implemented, and the series was viewed as propaganda in support of it.",occupation.n.en.02
* The first Dutch soldier dies in the <b>occupation</b> of Iraq.,occupation.n.en.02
"He wrote a memorandum to his Corps commander, concluding that regardless of whether the monastery was currently occupied by the Germans, it should be demolished to prevent its effective <b>occupation</b>.",occupation.n.en.04
"Land pressuresTe Whiti being led from Parihaka, November 1881.In June 1868 hostilities resumed in Taranaki as a Ng&#257;ti Ruanui chief, Riwha Titokowaru, launched a series of effective raids on settlers and government troops in an effort to block the <b>occupation</b> of M&#257;ori land.",occupation.n.en.02
The <b>occupation</b> of the model photographed as Mary Magdalene was described as 'Evangelist-cum-nymphomaniac country singer'.,occupation.n.en.01
"Margaret Wood's play A Kind of Justice (1966) is based on Lucas's poem ""Spain 1809 ""(From Many Times and Lands, 1953), the story of a Spanish village woman's courage during the French <b>occupation</b> in the Peninsular War.",occupation.n.en.05
"For George Louis's aid Denmark sold to him Swedish Bremen-Verden, which it kept under <b>occupation</b> since 1712.",occupation.n.en.05
Rabbi Baruch served as chief rabbi until the Nazi <b>occupation</b> of Munk&#225;cs in 1944.,occupation.n.en.02
"Work and <b>occupations</b>, 30( 4) :442 According to this theory, the labor market consists of two sectors of jobs; one is the &#8220;primary &#8221; core of good jobs with good working conditions, advancement opportunities and job safety.",occupation.n.en.01
"The America First party opposed the 2003 invasion and subsequent <b>occupation</b> of Iraq, and refers to the Iraq war as unconstitutional.",occupation.n.en.02
The Society suffered during the French <b>occupation</b> of the Netherlands in the late 18th and early 19th century.,occupation.n.en.05
"Though the Duke of Alba and the Spanish <b>occupation</b>, however, was little more popular in Lisbon than in Rotterdam, the combined Spanish and Portuguese empires placed into Philip's hands almost the entirety of the explored New World along with a vast trading empire in Africa and Asia.",occupation.n.en.05
"* Tang Soo Do, general term used in Korea near the end of the Japanese <b>occupation</b> for the martial arts",occupation.n.en.05
In November 1651 he returned to Scotland as part of Major-General Richard Deane's army of <b>occupation</b>.,occupation.n.en.02
The medal recognized those service members who had performed military <b>occupation</b> duty in Puerto Rico after the close of the Spanish-American War.,occupation.n.en.02
Some Lancia IZ/IZM played a minor role during the Italian invasion and the <b>occupation</b> of Ethiopia.,occupation.n.en.02
"The collection moved to the present location in 1913, and the modern collection is located in the two buildings on the town square called the Hallen, for the former <b>occupations</b> of the buildings, the Fish Hall and the Meat Hall.",occupation.n.en.04
"In 1648 the Prince-Archbishopric was transformed into the Duchy of Bremen, which was first ruled in personal union by the Swedish Crown- interrupted by a Danish <b>occupation</b> (1712-1715)- and from 1715 on by the Hanoverian Crown.",occupation.n.en.05
"It was seized by the Germans in June 1940 during the Battle of France, and was used as a major Luftwaffe military airfield during the <b>occupation</b>.",occupation.n.en.05
"Arrested by the American <b>occupation</b> authorities, Ishii and the 20,000 Unit 731 members received immunity in 1948 from war-crimes prosecution before the Tokyo tribunal in exchange for germ warfare data based on human experimentation.",occupation.n.en.02
"A unique hunger strike without food and water started on July 28, 2008, led by Tibetan Youth Congress started in Indian Capital, New Delhi in protest against the Chinese <b>occupation</b> of Tibet.",occupation.n.en.02
"In 2001 Irvine moved to the Middle East, where he was based in Jerusalem and covered the Israeli Army's <b>occupation</b> of Ramallah.",occupation.n.en.02
"* Thomas C. Elliott, <b>occupation</b>, general huckster",occupation.n.en.01
"His first book, The Tragedy of Zionism, was published in 1985 to considerable controversy, since it suggested that Israel&#8217;s <b>occupation</b> was a symptom of a democracy plagued by anachronistic Zionist institutions and ideas.",occupation.n.en.02
"Sultan Husayn Kamil (November 21, 1853- October 9 1917) (Arabic: &#1587;&#1604;&#1591;&#1575;&#1606; &#1581;&#1587;&#1610;&#1606; &#1603;&#1575;&#1605;&#1604;) was the Sultan of Egypt and Sudan from December 19 1914- October 9 1917, during the British <b>occupation</b> which lasted from 1882-1922.",occupation.n.en.05
He died probably during the Soviet <b>occupation</b> of Lvov (1939&#8211;1941) or his exile to Siberia.,occupation.n.en.05
Certain <b>occupations</b> are incompatible with Christian life: only under compulsion may a Christian be a soldier.,occupation.n.en.01
"Mulan Joins the Army was made during Japanese <b>occupation</b> of China and the so-called ""Solitary Island"" period of Chinese cinema.",occupation.n.en.05
"This category is for cryptolects, cants and private vocabularies used in various professions and <b>occupations</b> to hide the subject of discussion from uninitiated listeners.",occupation.n.en.01
Most of the immigrants settled near water in sea related <b>occupations</b>.,occupation.n.en.01
"Sex discrimination in high school and college course-taking also results in women not being prepared or qualified to pursue more prestigious, high paying <b>occupations</b>.",occupation.n.en.01
"The document stipulated the <b>occupation</b> was to last until these objectives were to be met, without specifying time limit.",occupation.n.en.05
"In [Panzer Leader], he conceded that he was fully aware of the brutal <b>occupation</b> policies of the German administration of the Ukraine, claiming that this was wholly the responsibility of civilians, about whom he could do nothing.",occupation.n.en.02
"Haaretz's publisher, Amos Schocken, expressed puzzlement at Linur's public letter, describing his newspaper as ""exceedingly Zionist"" and suggesting Levy's reports should be ""read mainly as a description to the effect of the Israeli <b>occupation</b> in the territories"".",occupation.n.en.02
"The British captured the city on September 26, beginning an <b>occupation</b> that would last until June 1778.",occupation.n.en.05
"Ungerer also lived through the German <b>occupation</b> of Alsace, causing his house to be requisitioned by the army of Nazi Germany.",occupation.n.en.05
Early <b>occupation</b> by Polynesian people,occupation.n.en.05
"*Japanese <b>occupation</b> of Malaya, North Borneo and Sarawak",occupation.n.en.02
Many Poles work in seasonal <b>occupations</b> and a large number are likely to move back and forth over time.,occupation.n.en.01
He then served as Prime Minister (according to other sources: Minister of the Interior )in the short-lived puppet government established by Baron Ungern after his <b>occupation</b> of Niislel Kh&#252;ree in 1921.,occupation.n.en.05
