sentence,sense_id
"Kershaw argued that the Soviet regime, despite all of its extreme brutality and utter ruthlessness was bascially rational in its goals and had no equivalent of the ""cumulative radicalization"" towards increasing irrational goals that Kershaw sees as marking Nazi Germany Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 page 240 In Kershaw's opinion, Stalin's power corresponded to Weber's category of bureaucratic authority whereas Hitler's power corresponded to Weber's category of charismatic authority Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 page 243 In Kershaw's view, what happened in Germany after 1933 was the imposition of Hitler's charismatic authority on top of the ""legal-rational ""authority system that had existed prior to 1933, leading to a graducal breakdown of any system of ordered authority in Germany Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 page 244 Kershaw argues that by 1938, the German state had been reduced to a hopeless, polycratic shambles of rival agencies all competing with each other to win Hitler's favor, which by that time become the only source of political legitimacy Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 page 245 Kershaw sees this rivarly as causing the ""cumulative radicalization"" of Germany, and argues that through Hitler always favored the most radical solution to any problem, it was German officials themselves in attempting to win the F&#252;hrer's approval who for the most part carried out on their own initiative increasing ""radical ""solutions to perceived problems like the ""Jewish Question"" as opposed to being ordered to do so by Hitler Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 page 246 In this, Kershaw largely agrees with Mommsen's portrait of Hitler as a distant and remote leader standing in many ways above his own system, whose charisma and ideas served to set the general tone of politics As an example of how Hitler's power functioned in practice, Kershaw used Hitler's directive to the Gauleiters Albert Forster and Arthur Greiser to ""Germanize ""the part of north-western Poland annexed to Germany in 1939 within the next 10 years with his promise that ""no questions would be asked"" about this would be done Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 page 248 Rees, Laurence The Nazis: A Warning From History, New York: New Press, 1997 pages 141-142 As Kershaw notes, the completely different ways Forster and Greiser sought to ""Germanize ""their Gaues with Forster simply having the local Polish population in his Gau signing forms saying they had ""German blood"" and Greiser carrying out a program of brutal ethnic cleansing of Poles in his Gau showed both how Hitler set events in motion, and how his Gauleiters could carry out totally different policies in pursuit of what they believed to be Hitler's wishes In Kershaw's <b>opinion</b>, Hitler's vision of a racially cleansed Volksgemeinschaft provided the impetus for German officials to carry out increasing extreme measures to win his approval, and which ended with the Shoah Kershaw, Ian"" 'Working Towards the F&#252;hrer' Reflections on the Nature of the Hitler Dictatorship"" pages 231-252 from The Third Reich edited by Christian Leitz, London: Blackwill, 1999 pages 246-247.",opinion.n.en.01
"An <b>opinion</b> poll published in the Figaro estimates 2/3rds of the French are against the strike, and the Ministry of Economy declared that the strike was costing the French economy &#8364;400 million a day and SNCF &#8364;100 million a day.",opinion.n.en.03
"It is the oldest continuously published student magazine in Scotland and despite changes in style has continued to document the University's history from the student's point of view, with reports of sporting achievements and debates, short stories and poems, articles and letters giving <b>opinions</b> on the political and moral issues of the day, and photographs of office bearers and medal winners.",opinion.n.en.01
"Media, insider, and analyst <b>opinions</b> rely heavily on recent patents relating to multitouch sensitivity for more complex computing devices, comments from Timothy D. Cook on an April 22 conference call, and Apple's 2009 acquisition of PA semi.",opinion.n.en.02
*United States Supreme Court <b>Opinions</b> from Volume 263 of the United States Reports,opinion.n.en.05
He was instructed not to press for neutrality if the public <b>opinion</b> of Naples so strongly favoured alliance with Piedmont as to render that course dangerous to the dynasty.,opinion.n.en.03
"In his <b>opinion</b>, a more co-ordinated and active communication between liaison officers from the countries of the Salzburg Forum is possible.",opinion.n.en.01
They thus reasoned that the majority <b>opinion</b> exactly contradicted the original intended meaning of the 14th Amendment.,opinion.n.en.03
"He expressed negative <b>opinions</b> about Jewish artists, and considered Expressionism to be a distinctively Germanic style.",opinion.n.en.01
As were the first two parts of Scalia's <b>opinion</b> that upheld the constitutionality of anticipatory warrants in general.,opinion.n.en.05
