sentence,sense_id
"&#183; Copper Square's roaming concierges are uniformed in <b>orange</b> and khaki with ""Ask Us"" printed on their backs.",orange.n.en.02
"As per instruction, Baker wore an <b>orange</b> prison jumpsuit over his uniform and crawled under a bunk in a cell, so an ""internal reaction force ""consisting of four (possibly five) US soldiers could practice extracting an uncooperative inmate from his cell.",orange.n.en.02
"It produces principally maize, beans, coffee, rice, <b>orange</b> fruit and green chile.",orange.n.en.01
"Deep blue is the bulk ions, light blue is the fission products (group I is Rb/Cs) (group II is Sr/Ba) (group III is Y and the lanthanides), <b>orange</b> is the corrosion products (from stainless steel pipework), green are the major actinides, violet are the minor actinides and magenta is the neutron poison)",orange.n.en.02
<b>Oranges</b> have also been produced in some areas.,orange.n.en.01
"Juice of limes and Seville <b>oranges</b> can also inhibit drug metabolism, however, as can apple juice with some drugs.",orange.n.en.01
"The driver's door is often required to be painted white with black numbers or blaze <b>orange</b>, or with contrasting colors, for visibility.",orange.n.en.02
":Belvedere Pomarancza uses a combination of natural sweet <b>oranges</b>, mandarins, and orange blossoms from the Mediterranean and limes from Latin America.",orange.n.en.01
What was navy blue was now orange and what was <b>orange</b> was now a lighter shade of blue.,orange.n.en.02
Most driers are colorless but cobalt is a deep blue purple color (iron driers are reddish <b>orange</b>) thus the colored driers are compatible only with certain paints.,orange.n.en.02
"State Board, 20: It is also largely to Riverside that the orange industry is indebted for its present importance, from the success attained in the cultivation of the Washington Navel, an <b>orange</b> which achieved widespread fame for itself and the location (Riverside) where it was first successfully grown.",orange.n.en.01
"Rum Swizzle Recipe Rum, fruit juice (often including lime, and <b>orange</b> and pineapple juice), and a flavored sweetener such as falernum or grenadine are the most consistent ingredients, DrinsMixer.com #one Trader Vic's Bartender's Guide and the drink is generally shaken or stirred with ice.",orange.n.en.01
"According to Bernardet et al, Flavobacteria are gram-negative aerobic rods, 2-5 mm long, 0.3-0.5 mm wide, with rounded or tapered ends that are motile by gliding, yellow (cream to <b>orange</b>) colonies on agar, decompose several polysaccharides but not cellulose, G+C contents of 32- 37 %, and are widely distributed in soil and freshwater habitats.",orange.n.en.02
"Tipsy Miss, John Sandberg's clipped-wingtip P-63 unlimited racer, was identified as ""Race 28,"" and painted in bright <b>orange</b>, white and black race numbers with a chrome spinner.",orange.n.en.02
"*Ponzu: The common pon-zu is made of soy sauce and juice pressed from a bitter <b>orange</b>, sweet sake, and kombu (kelp) stock.",orange.n.en.01
"The Parent Washington Navel Orange Tree, planted in 1873 and one of two original <b>orange</b> trees in California, and the historic Mission Inn are landmarks in the city.",orange.n.en.03
Its conspicuous white spring flowers and winter persistent <b>orange</b> fruit make it one of our most recognizable trees.,orange.n.en.01
"The colour of any heated object changes predictably (due to black body radiation) from dull red through <b>orange</b> and yellow to white, and can be a useful indicator of its temperature.",orange.n.en.02
"HP Fruity is a milder version of the Original brown sauce, using a blend of fruits including <b>oranges</b> and mango to give a milder, tangier taste.",orange.n.en.01
"|known for distinctive sideburns, and later a bright <b>orange</b> mawashi, involved in an auto accident scandal",orange.n.en.02
"Hollow wax oranges, 90 to a crate, were filled with heroin until they weighed as much as real <b>oranges</b>.",orange.n.en.01
"This prohibition dealt an economic blow to Sichuan that caused a small rebellion (which was subdued), yet in the Song Dynasty Sichuan was well-known for its independent industries producing timber and cultivated <b>oranges</b>.",orange.n.en.01
"Though it was designed as an arcade with end pavilions to winter <b>oranges</b>, the light levels under its solid roof were too low for it to be successful.",orange.n.en.01
"Hind wing: the upper postdiscal orange patch narrower, forming a short band which is no1 curved but placed obliquely transverse, reaching from vein 2 to vein 6, sometimes but rarely with a detached <b>orange</b> spot above it in interspace 6. Underside: ground-colour variable, generally vinous-brown, paler along the costal and dorsal margins of the fore wing; sometimes dark brown on the fore wing, dark greyish on the hind wing, with the costal margin broadly of the fore and the whole of the hind wing irrorated with minute dark striae and spots.",orange.n.en.02
