sentence,sense_id
"It has been reported that she did not want to marry Lord Lascelles and that her <b>parents</b> forced her into an arranged marriage, and that Lascelles proposed to her after a wager at his club.",parent.n.en.01
"Osama's <b>parents</b> divorced soon after he was born, according to Khaled M. Batarfi, a senior editor at the Al Madina newspaper in Jeddah who knew Osama during the 1970s.",parent.n.en.01
Fan was born in the United States to <b>parents</b> from Taiwan.,parent.n.en.01
"He, his <b>parents</b>, and his older brother Denis moved to the United States in 1994.",parent.n.en.01
"The Board is self perpetuating, meaning that vacancies on the Board are elected by the current members of the Board rather than by general elections of the <b>parent</b> community.",parent.n.en.02
"When E&#228;rendil was seven years old, he escaped the sacking of Gondolin with his <b>parents</b>, living afterwards in Arvernien by the mouth of Sirion.",parent.n.en.01
"Articles pertaining to character encoding in general, or encoding in general, may be found in the <b>parent</b> categories, and.",parent.n.en.02
"Corne Krige was Zambian-born and his <b>parents</b> still reside in that country, but he was schooled in South Africa at Paarl Boys High School, about 60km from Cape Town.",parent.n.en.01
His <b>parents</b> were Americans; his father worked as an independent mural painter.,parent.n.en.01
"Abandoned in an orphanage at birth by his <b>parents</b>, Mal spent a great deal of his childhood coming to terms with the world around him.",parent.n.en.01
"Despite her disagreeable personality to Eric, she has occasionally showed sympathy toward him, such as when he was traumatized after seeing their <b>parents</b> having sex.",parent.n.en.01
"Two daughters, first refugees in France with their aunt, managed to get to Lisbon, and were reunited with their <b>parents</b> in September.",parent.n.en.01
"Chiume described his given name, Kanyama, as meaning &#8220;another piece of meat for you, &#8221; a wry joke by <b>parents</b> who had grown wearily accustomed to death in their family.",parent.n.en.01
"While the <b>parents</b> are talking, they are kidnapped by Gavro, a member of the Spectoral Space Pirates.",parent.n.en.01
"Both of her <b>parents</b> were alcoholics and when she was ten, Carre began drinking herself.",parent.n.en.01
"Sheridan&#8217;s obituary in the Bogalusa Daily News does not give the names of his <b>parents</b>, his place of birth, his formal education, or his occupation outside the legislature.",parent.n.en.01
"Ambassador and investor John Hay Whitney bought the <b>parent</b> company from the Reid family in 1958, but a redesign and new reporters failed to revive the paper, which succumbed to the effects of strikes and other difficulties which ended in 1967 when what had become the New York World Journal Tribune ceased publication in 1967.",parent.n.en.02
"His <b>parents</b> suspected insects in the boy&#8217;s room, and found several in the folds of his mattress.",parent.n.en.01
"Unfortunately, Kitty's <b>parents</b> had n't heard from her in more than a day, because during that time she was first being pursued by the Hellfire Club's men and then working with the X-Men to save their friends.",parent.n.en.01
"In Irish mythology, Buarainech was the <b>parent</b> of Balor, the King of the Fomorians.",parent.n.en.01
"As a show developed by Bill Cosby for a character from The Cosby Show, A Different World naturally had many connections to its <b>parent</b> program, even before the latter program was created.",parent.n.en.02
The chicks are fed a stomach oil by the <b>parents</b>.,parent.n.en.01
"Even though Akira's <b>parents</b> died at a young age, the werewolf population where Akira lived was abundant, so Akira was raised happily with the love of his extended family.",parent.n.en.01
"Hearing how Chase feels about her, Zoey returns to PCA, but knowing he loves Zoey, Chase convinces his <b>parents</b> to transfer him to the London boarding school Zoey attends, only to discover that she has transferred back to PCA to be with him.",parent.n.en.01
"The majority of new numbers assigned since the 1953 renumbering have been from 166 to 185, with some short routes instead receiving numbers based on their <b>parents</b> (for instance, an old section of U.S. Route 9 became Route 109).",parent.n.en.01
"On the left is the Emperor Claudius and his new wife Agrippina (as Cybele, the goddess of fertility) opposite them, Agrippina's <b>parents</b> Germanicus (also Claudius's brother) and Agrippina.",parent.n.en.01
