sentence,sense_id
"However, detailed financial records for Components Ltd, a Hsu-controlled entity with no obvious business purpose, reveal <b>payments</b> of $100,000 to nine political donors whose contributions were later bundled by Hsu.",payment.n.en.01
"It includes, for most countries, data on exchange rates, balance of payments, international liquidity, money and banking, interest rates, prices, etc. ESDS International, dataset guide, retrieved September 15, 2009 Most annual data begins in 1948, quarterly and monthly data dates back to 1957 and most balance of <b>payments</b> data begins in 1970 #desc_IMFIFS ESDS International, dataset description, retrieved September 15, 2009.",payment.n.en.01
"To date, Golden LEAF has received $706,546,189.63 in <b>payments</b> as a result of the tobacco settlement.",payment.n.en.01
"In litigation, which originated from the objection to such <b>payments</b>, and where plaintiff Harold Sturgeon was represented by Judicial Watch Sturgeon v County of Los Angeles (BC351286), such payments were ruled in October 2008 as ""not permitted"" by the California Court of Appeal ,4th District (San Diego).",payment.n.en.02
"Last year, when Master Moon moved his international headquarters to Tarrytown, N.Y., members sold candles across the U.S. for seven weeks to meet the down <b>payment</b> of $300,000 on an $850,000 estate.""",payment.n.en.01
"In January of that year, Germany defaulted on its payments and the French president, Raymond Poincar&#233;, invoked a clause of the Versailles Treaty and sent troops to occupy the Ruhr valley in the hope of enforcing <b>payment</b>.",payment.n.en.02
"This made <b>payments</b> by domestic clients easier, and improved customer services.",payment.n.en.02
"It should be noted, of course, that this organization only works for their own financial interest, which is to receive <b>payments</b> for all the Argentine debt and nothing else.",payment.n.en.01
"Boies, Schiller &amp; Flexner LLP recently assisted the government in obtaining a $155 Million settlement from Medco Health Solutions related to a qui tam complaint which alleged that Medco, ""systematically and intentionally switched patients' prescriptions in an effort to increase the market share for certain pharmaceutical manufacturers, and thereby increased hidden rebate <b>payments</b> it received from pharmaceutical manufacturers.""",payment.n.en.01
"In 2005, Transport for London shortlisted two financial services suppliers, Barclaycard and American Express, to add e-money <b>payment</b> capability to the Oyster card.",payment.n.en.02
"Railtrack Group plc has been renamed the RT Group, is currently in members' voluntary liquidation and will remain in existence until the final liquidation <b>payment</b> is made to shareholders in 2009.",payment.n.en.01
"The Truck Act 1896 regulates the conditions under which deductions can be made by or <b>payments</b> made to the employer, out of the ""sum contracted to be paid to the worker, ""i .e. out of any gross sum whatever agreed upon between employer and workman.",payment.n.en.01
For this the only remuneration received by the authors was a moderate <b>payment</b> for lithographing the sixty fine folio plates.,payment.n.en.01
"Unlike personal checks, merchants generally do not believe that a <b>payment</b> via a debit card may be later dishonored.",payment.n.en.02
"During the winter of 1878 Carlin's dissatisfaction with Marsh's sporadic sending of <b>payment</b> reached a head, and he began working for Cope instead.",payment.n.en.01
"Under the terms of the settlement, AT&amp;T agreed to purchase $300 million of equipment from TeleSciences over eight years with an advance <b>payment</b> of $40 million.",payment.n.en.01
* Arthur Vaughan's (an infant) estate: sale for the <b>payment</b> of debts and incumbrances.,payment.n.en.02
"(a) The noncontractual interest of an employee covered by the Act cannot be soundly analogized to that of the holder of an annuity, whose right to benefits are based on his contractual premium <b>payments</b>.",payment.n.en.02
"The company operates the world's largest retail electronic payment network, managing <b>payments</b> among financial institutions, merchants, consumers, businesses and government entities.",payment.n.en.01
The first integral on the right hand side determines the accumulated interest <b>payments</b> from time of inception to time t whilst the second determines the accumulated principal payments over the same period.,payment.n.en.01
"His wife, who had considerable literary talent and who published The Deserted Isle (1822) and The Widow of the Rock and Other Poems (1824), returned to the United States in 1840, and died soon afterward in New York City while attempting to obtain through Congress <b>payment</b> for property destroyed on the island.",payment.n.en.02
"However, already five years behind schedule, it was reported again on February 20th, 2007 by Russian officials that the opening of Bushehr could be delayed further because Iran has allegedly fallen behind with the <b>payments</b>.",payment.n.en.01
"Cast, crew and budgetSam Raimi produced the film under the pseudonym' The Master Cylinder' using a portion of his <b>payment</b> from Evil Dead 2. Bruce Campbell dubbed the voices of two characters that were Raimi and Cmr Carpenter.",payment.n.en.01
"* rental of real estate, and other <b>payments</b> connected with real estate",payment.n.en.02
There can be single <b>payment</b> premiums which is actually the sales spread over a period of long time.,payment.n.en.01
"Kantakouzenos offered cash <b>payments</b> to Orchan to vacate the city, to which he refused, claiming that he could not give up something that was granted to him by Allah and that he did not take by force.",payment.n.en.01
"At the following election in 1906, Maidstone again swung in the opposite direction to the country as a whole, electing a Conservative- one of only five Unionist gains across the country- and the victor was again charged with corruption; on this occasion the candidate was acquitted, but one of the judges noted that ""there exists among the voters of this borough a number of the lower class who expect, and are known to respect, a <b>payment</b> or reward for their votes...",payment.n.en.01
"* Rawley: by his own description in the episode ""Poetic Justice"", Rawley was indicted for ""party to criminal conspiracy, forgery of legal documents under the Forgery Act of 1913&#8211;1948, and accepting an illicit <b>payment</b> as an officer of the crown"".",payment.n.en.01
The schools each received a $3 million <b>payment</b> for their conferences.,payment.n.en.01
"In some situations, however, the compounding period and the <b>payment</b> period are not the same, as in the case where payments are made biweekly or weekly but interest is compounded monthly.",payment.n.en.02
"Cargo sampling is the taking and retaining of true representative samples of commodity products, usually to facilitate <b>payment</b> to a shipper for cargo leaving its port of loading.",payment.n.en.01
"Part of the <b>payment</b> was determined by the number of slates the gang produced, but this could vary greatly according to the nature of the rock in the section allocated to them.",payment.n.en.01
If you are made redundant and you qualify for redundancy <b>payment</b> under current legislation.,payment.n.en.01
