sentence,sense_id
This Catius is introduced as delivering a grave and sententious lecture on various topics connected with the <b>pleasures</b> of the table.,pleasure.n.en.04
"The President of the United States of America, authorized by Act of Congress, July 9, 1918, takes <b>pleasure</b> in presenting the Distinguished Service Cross to Private Carl Tuftin (ASN: 3752519), United States Army, for extraordinary heroism in action while serving with Company D, 318th Infantry Regiment, 80th Division, A.E.F., near Sommauthe, France, November 4- 5, 1918.",pleasure.n.en.03
"The album was well received by critics such as Eric Farand of RPGFan, who appreciated the slower feel of the album which in his opinion allowed it to focus on ""delivering beautiful melodies"" and made it ""a <b>pleasure</b> to listen to"".",pleasure.n.en.02
"It strives for contrast between people and the environment by creating surprise and awe in the viewer, while at the same time maintaining a sense of <b>pleasure</b> and a sensual experience.",pleasure.n.en.01
Marcus Ehning link=Germany- For <b>Pleasure</b> 12.01,pleasure.n.en.03
"The lake's large recreational area offers all related activities (camping, swimming, fishing, boating, and hunting) and adds much to the <b>pleasure</b> and economy of Comanche.",pleasure.n.en.02
"*Nico &#8211; lead vocals on ""Femme Fatale"", ""All Tomorrow's Parties "", ""I'll Be Your Mirror"","" Chelsea Girls"" and ""It Was a <b>Pleasure</b> Then"", backing vocals on ""SundayMorning""",pleasure.n.en.01
"He also said in a season one episode that the only things that matter to him are money, the <b>pleasures</b> money can buy him, and Nate.",pleasure.n.en.02
"Pride is, depending on the context, either a high sense of the worth of one's self or one's own or a <b>pleasure</b> taken in the contemplation of these things.",pleasure.n.en.01
"Despite the ascetic roots of the &#7778;afavid dynasty and the religious injunctions restricting the <b>pleasures</b> lawful to the faithful, the art of Abbas' time denotes a certain relaxation of the strictures.",pleasure.n.en.02
The aforementioned Operation Spanner is another example of this in which British courts determined that it is wrong to take <b>pleasure</b> in sexual sadism and thus the government can rightly outlaw the act.,pleasure.n.en.05
"It is a common myth that animals do not (as a rule) have sex for <b>pleasure</b>, or alternatively that humans, pigs (and perhaps cats, dolphins and one or two species of primate) are the only species which do.",pleasure.n.en.05
"This agrarian society functions simply because the people find pleasure in nature, and therefore they find <b>pleasure</b> in their work.",pleasure.n.en.04
"The earth-substance, the liquid-substance, the fire-substance, the wind-substance, <b>pleasure</b>, pain, and the soul as the seventh.",pleasure.n.en.01
"That 's how I knew him back then, and that is how he remained until his last moments of well-being: cheerful and sad; sociable and crabbed; gentle and abrupt; he was thankful for everything and unhappy about some things; here he was as abstemious as a hermit, there he was ambitious to the <b>pleasures</b> of life; sometimes he ran away from people and then he looked for them; he was carefree as a Stoic and choleric as an edgy girl.",pleasure.n.en.02
"*Concerto No. 6 in C major,"" Il piacere ""(<b>Pleasure</b>), RV 180",pleasure.n.en.01
"The wall separates the main park from the <b>pleasure</b> garden, which was formerly an ornamental garden containing trees such as giant redwoods and an avenue of limes.",pleasure.n.en.02
"Upon its re-release in 2007, a New York Times review stated, ""There&#8217;s hardly a frame in the 1929 film &#8220;A Throw of Dice &#8221; that does n&#8217;t provide a surge of visual <b>pleasure</b>"", while a Guardian reviewer, Peter Bradshaw, called it, ""a rare and fascinating gem"".",pleasure.n.en.02
"Nonetheless, its understanding of human foibles as they manifest themselves on the golf course gives it a timeless quality, and McCullough's good humor and wit make it a <b>pleasure</b> to read even for non-golfers.",pleasure.n.en.04
Frederick (Joss Ackland) is trying to find a way to ease the aggressive nature of soldiers by developing a microchip to access the <b>pleasure</b> centers of their brains.,pleasure.n.en.01
"""Carry it with you as you would carry a flower from a garden of <b>pleasure</b>.""",pleasure.n.en.02
"While equitation of the rider is not judged in a <b>pleasure</b> class, a properly positioned rider will obtain a better performance from the horse.",pleasure.n.en.04
