sentence,sense_id
"The 7th war bond drive and the sixth man controversyJohn Bradley, who temporarily needed crutches following the battle due to shrapnel injuries, appearing next to a <b>poster</b> for the 7th War bond drive.",poster.n.en.01
"Promotional <b>poster</b> of Led Zeppelin, 1973",poster.n.en.01
"#The <b>poster</b> is used on various websites, and its use on Wikipedia does not make it significantly more accessible than it already is.",poster.n.en.01
A promotional <b>poster</b> for Mariah Carey's 1996 Daydream World Tour.,poster.n.en.01
Photo by <b>poster</b> in September 2007.,poster.n.en.02
"#For an article about a film, the original <b>poster</b> is arguably one of the most important images that could be included.",poster.n.en.01
#The <b>poster</b>'s use on Wikipedia is entirely encyclopedic in nature.,poster.n.en.02
* List of films in the public domainReferences Film <b>poster</b> from DelinquentDaughters,poster.n.en.01
Promotional <b>poster</b> for The Culpepper Cattle Co..,poster.n.en.01
* Seconds movie <b>poster</b>- Theatrical Release,poster.n.en.01
"The <b>posters</b>, which are designed to be satirical in nature, attempt to garner support for a Chinese occupation, with slogans such as ""Rebuilding your reputation"", ""Repairing your economy"", and ""Fighting corporate corruption"".",poster.n.en.01
"In fact its use exactly fits the purpose of a movie <b>poster</b>, promoting the film.",poster.n.en.01
SummarySergeant York movie <b>poster</b>,poster.n.en.01
A nationwide billboard <b>poster</b> campaign promoted the series with posters in the style of those for movies such as The Cannonball Run.,poster.n.en.01
"|:]. and program folders and <b>posters</b> paid for by Stockholm tourism authorities, the location of the club in a northeastern corner of town, far from most hotels, made it difficult to draw the intended tourist crowd as a mainstay for financial success.",poster.n.en.01
#The <b>poster</b> is to suggest something of the film's genre and style.,poster.n.en.01
"The All Fronts Collection was to be sold as a retail package, and would have included all add-ons released for Gears of War 2, a <b>poster</b>, and a strategy guide for the game.",poster.n.en.01
"A bowling alley serves as a microcosm for this new New World, and its moody denizens, including manifesto-writing LP Deal; Nickel Eye, the prime suspect in a series of tourist murders; and Cat Stand, once a dairy industry <b>poster</b> girl, try to stay beneath the radar as undercover cops and annoying anthropologists intrude.",poster.n.en.01
"#For an article about a film, the original <b>poster</b> is arguably one of the most important images that could be included.",poster.n.en.01
Releasealt = A film <b>poster</b> advertising for the films The Manster on the right and The Horror Chamber of Dr.Faustus on the left.,poster.n.en.01
Film <b>poster</b> for the Chinese film Shanghai Dreams,poster.n.en.01
"Vintage Hitchcock, a 13""x18 ""<b>poster</b> designed by Jean Fogle for a month-long Hitchcock series held in 1973",poster.n.en.01
Film <b>poster</b> for The Burning,poster.n.en.01
What Becomes of The Broken Hearted? movie <b>poster</b>,poster.n.en.01
"#The <b>poster</b> is used on various websites, and its use on Wikipedia does not make it significantly more accessible than it already is.",poster.n.en.01
"From a <b>poster</b> for Marat-Sade performance based on a text by Peter Weiss, directed by Matja&#382; Pograjc",poster.n.en.01
Summary Pierrot le fou <b>poster</b>,poster.n.en.01
#The <b>poster</b>'s use on Wikipedia is entirely encyclopedic in nature.,poster.n.en.01
#it is a low-resolution copy of a movie <b>poster</b>;,poster.n.en.01
"While both the regular edition and limited edition contains two songs and its instrumentals, the two have different covers and only the limited edition included cards and a <b>poster</b>.",poster.n.en.01
"This order will be used for the official campaign: thus, <b>posters</b> for Olivier Besancenot will always be on the #1 board, those for Marie-George Buffet on the #2 board, etc., regardless of where in France the boards are located.",poster.n.en.01
"Birch's artistic talent first emerged in San Francisco, where he helped his father prepare wood-block theatrical <b>posters</b>.",poster.n.en.01
Spanish film <b>poster</b> for The Blood Spattered Bride,poster.n.en.01
#The <b>poster</b> is to suggest something of the film's genre and style.,poster.n.en.01
Compatibility with wikipedia?: Use of the film <b>poster</b> in the article complies with Wikipedia non-free content policy and fair use under United States copyright law as described above.,poster.n.en.01
"He concluded on 31 July 1986, that the <b>poster</b> can ""at the most be branded as a fair criticism"" and that &#8220;with due regard to the holy book of &#8216;Quran Majeed&#8217;, a close perusal of the &#8216;Aytes &#8217; shows that the same are harmful and teach hatred, and are likely to create differences between Mohammedans on one hand and the remaining communities on the other&#8221;.",poster.n.en.01
*Use of a low resolution <b>poster</b> to illustrate an article of the poster's movie (Ganga Ki Saugandh) is considered fair use,poster.n.en.01
