sentence,sense_id
Shortly before the following tournament his four year old son was scalded to death when a boiling hot <b>pot</b> of chankonabe fell on him.&lt;Ref,pot.n.en.01
"When the <b>pot</b> is heated on a stove, the pressure from the steam in the bottom chamber forces the water through a tube into the filter-basket, through the ground coffee, the metal filter, and it then funnels into the top chamber where the coffee is then ready to serve.",pot.n.en.01
"Wealthier individuals considered pig innards (offal) as inedible and sometimes had them buried as garbage, but enterprising slaves would unearth them under cover of darkness and salvage them for the cook <b>pot</b>.",pot.n.en.01
"The material is somewhat similar to earthenware or stoneware, yet these earthen- or stoneware <b>pots</b> should usually not be used over an open flame.",pot.n.en.01
"Eventually, humans began to use earthenware vessels, or fire <b>pots</b>, in which slow-burning fires could by kept alight indefinitely by adding small quantities of fuel as needed.",pot.n.en.01
However the technical difficulties of casting iron <b>pots</b> were too great for Darby.,pot.n.en.01
"As a supervisor, White made it clear that he saw himself as the board's ""defender of the home, the family and religious life against homosexuals, <b>pot</b> smokers and cynics.""",pot.n.en.09
"Once done, the potatoes are added to the same <b>pot</b> as the vegetables and all are thoroughly mashed together.",pot.n.en.01
This design has the advantage of very even heating since the sun is able to shine onto the sides and the bottom of the <b>pot</b> during cooking.,pot.n.en.01
"In fact, the Nash equilibrium is rarely seen in experiments; people do tend to add something into the <b>pot</b>.",pot.n.en.03
"#Space enclosed by a <b>pot</b>, or a jar or a hut or a wall has their several appellations(eg. ,pot space, jar space etc.).",pot.n.en.01
"For example, if a player declaring swing has the best high hand but loses for low (or ties for low with a no-ties rule), the whole <b>pot</b> is awarded to the low hand that defeated him.",pot.n.en.06
In fact the player gets the special progressive payout awards which range from several dollars up to 100 % of the whole <b>pot</b>.,pot.n.en.06
"The ancient Egyptian Censor <b>pot</b>, (the Incense burner: pot) is most commonly seen in Ancient Egyptian iconography as an offering, held in hand by the offering person or god.",pot.n.en.01
"A pot that is too large will cause root disease because of the excess moisture retained in the soil, while a <b>pot</b> that is too small will restrict a plant's growth.",pot.n.en.04
"Fruits are cooked in a <b>pot</b> or in the oven with sugar, carnation and cinnamon (without adding water).",pot.n.en.01
"All the three hills taken together have the appearance of a <b>pot</b> with a lid on it.The name Gudahandi, meaning a pot with molasses, may have originated from this.",pot.n.en.01
"In games with a rake, the dealer also must keep track of the amount of money in the <b>pot</b> and remove the appropriate cut for the house.",pot.n.en.06
"She steps outside the doorstep, finds Kishtayya staggering home, and breaks the <b>pot</b> in front of him before returning inside.",pot.n.en.01
"William Staite Murray, who was head of the ceramics department of the Royal College of Art, treated his <b>pots</b> as works of art, exhibiting them with titles in galleries.",pot.n.en.01
"Dogtown featured free readings every Sunday afternoon in a vacant space below Seattle signature Pike Place Market, a large space featuring one wall of windows giving views of the generally rainy and gray Puget Sound, a pot-bellied iron stove to drive the chill and damp away for readings and heat the <b>pot</b> of free Market Spice tea, and a piano.",pot.n.en.01
"Up to $75,000 could be added to the <b>pot</b> in this game.",pot.n.en.06
The base of the <b>pot</b> is less prone to cracking when it is formed this way.,pot.n.en.01
"* Spanish: Ap&#225;rtate que me tiznas, dijo la sart&#233;n al cazo (""Move away, you are blackening me, said the pan to the pot"") El burro hablando de orejas (""The donkey talking about ears""), M&#233;xico: El comal le dijo a la olla, qu&#233; tiznada est&#225;s (""The grill said to the <b>pot</b>, look how blackened you are"") citation needed, Venezuela: Cachicamo dici&#233;ndole a morrocoy conch&#250;o (""An armadillo telling a turtle it is too hard shelled ""), Colombia: El que tiene rabo de paja, que no se arrime a la candela (""if you have a tail made of straw, you 'd better stay away from the fire"").",pot.n.en.01
"Today, the island's population of 69,000 is truly a melting <b>pot</b> of people from 70 or more different countries.",pot.n.en.05
"""I make <b>pots</b> for use &#8211; bowls for soup or cereal, cups for tea or wine &#8211; all meant as much for the hand as for the eye.",pot.n.en.01
"I threw the pieces into a <b>pot</b>, added seven kilos of caustic soda, which I had bought to make soap, and stirred the whole mixture until the pieces dissolved in a thick, dark mush that I poured into several buckets and emptied in a nearby septic tank.",pot.n.en.01
"Bradbury (2004), p. 299 Barrels, fire <b>pots</b> and other breakable containers of pitch, Greek fire, and other incendiary mixtures could be thrown; Nicolle (1995), p. 208 other machines fired arrows and bolts, which could be ignited, or adapted to carry flammable mixtures.",pot.n.en.01
"Instead of dealing each player one upcard, the first card is dealt to the center and all players bid on it; the player who bids the highest amount places that amount into the <b>pot</b>, and then has the right to either keep the auction card as his own upcard, or designate another player who is required to take it as his.",pot.n.en.06
The recipe is as follows: Empty one 12 ounce sack of cranberries into a <b>pot</b>.,pot.n.en.01
The brakes are vastly improved with much more effective twin <b>pot</b> calipers on the front and a new disc brake with twin pot caliper on the rear replacing the original drum.,pot.n.en.08
"The all-enclosing close helm (in this case in the ""Savoyard"" style) could have been replaced by a more open form, such as the lobster tailed <b>pot</b>.",pot.n.en.01
"In practice, however, additional motivation for players to fold is usually needed in a single draw game such as: a half-pot limit, a <b>pot</b> limit, or a spread limit.",pot.n.en.06
"It is produced in small batches in an antique copper <b>pot</b> still, citation needed and contains two African botanicals&#8212;baobab fruit and Cape gooseberries.",pot.n.en.01
"*1927: Created ""Society Nail Tint,"" a small porcelain <b>pot</b> containing rose colored cream.",pot.n.en.01
"Some were used as reduction <b>pots</b> to smelt copper ores, others have some organic residues associated with food, and still others were employed as funerary urns.",pot.n.en.01
"The engineer will put the <b>pot</b> on the stove; the mathematician will throw out the water- ""reducing the problem to a previously solved problem"".",pot.n.en.01
"His eye-rolling song-and-dance routines eventually led to his nickname, Banjo Eyes, and in 1933, the artist Frederick J. Garner caricatured Cantor with large round and white eyes resembling the drum-like <b>pot</b> of a banjo.",pot.n.en.01
"*Holy <b>pot</b> the Legendary treasure, given to Nike and Kukuri at North village as a reward for lifting the curse .A 200 year-old pot that makes tasty food without burning.",pot.n.en.01
**Standard: Set the <b>pot</b> upon the stove.,pot.n.en.01
"When all players in the <b>pot</b> are all-in, or one player is playing alone against opponents who are all all-in, no more betting can take place.",pot.n.en.06
"The two-pot scenario will also be applied for the second round, with the remaining 3rd Liga/amateur teams in the first pot and the remaining professional teams in the other <b>pot</b>.",pot.n.en.06
It produces different kinds of <b>pots</b> and bricks intended for local markets in central Aurora.,pot.n.en.01
