sentence,sense_id
"Winston Churchill joined in October 1930 and made <b>speeches</b> to the society on a number of occasions.. Williamson, Philip, National Crisis and National Government (Cambridge University Press, 2003",speech.n.en.01
"The <b>speech</b> section is known among fans as ""the I Am One rant"".",speech.n.en.07
"After delivering a rousing <b>speech</b> in support of Barry Goldwater's presidential candidacy in 1964, he was persuaded to seek the California governorship, winning two years later and again in 1970.",speech.n.en.01
"Traditionally, the <b>speech</b> is given during student's junior year; students who enter the school as seniors must complete the requirement during their senior year.",speech.n.en.01
Chomsky and Halle represent <b>speech</b> sounds as bundles of plus-or-minus valued features (e .g.,speech.n.en.02
"In the <b>speech</b>, he characterized the speech itself as being akin to the President's customary State of the Union address.",speech.n.en.01
"Julia Mann (Davis) and Kevin Vallick (Keaton) are two insomniac writers who fall madly in love late one night, but their romance is thrown for a loop when they find out that they are both writing <b>speeches</b> for rival candidates in an election, with Julia writing for the Democratic candidate and Kevin writing for the Republican candidate.",speech.n.en.01
Weston's <b>speech</b> and its translation,speech.n.en.01
She has given <b>speeches</b> and moderated discussions regarding women and mothers in the workplace.,speech.n.en.01
"Peter invites the two to his house for dinner to show him some of his comedy bits, including a crude impersonation of John Wayne (mimicking his <b>speech</b> pattern and saying ""pilgrims"" at the end of each sentence), which Chase and Aykroyd find unfunny.",speech.n.en.05
"Theseus protests, saying that the two cities are friendly, and Oedipus responds with what is perhaps the most famous <b>speech</b> in the play.",speech.n.en.07
"May 10, 2005: While President George W. Bush was giving a <b>speech</b> in the Freedom Square in Tbilisi, Georgia, Vladimir Arutyunian threw a live Soviet-made RGD-5 hand grenade towards the podium where he was standing and where Georgian President Mikhail Saakashvili and their two wives and officials were seated.",speech.n.en.01
"<b>Speeches</b>, Questions and Motions)",speech.n.en.01
"In a <b>speech</b> at a conference in April, Einhorn started talking publicly about his Lehman short positions.",speech.n.en.01
"In Missoula and Spokane as in most of the other towns where free <b>speech</b> fights were waged, any citizen could address any assemblage on any street on any subject at any time by the end of 1912.&lt;Ref",speech.n.en.04
"Among the black community, the slur nigger is sometimes rendered as nigga, a self-referential pronoun in African American Vernacular English usage popularised by the Rap and Hip-hop music cultures as in-group lexicon and <b>speech</b>, wherein it is not necessarily derogatory.",speech.n.en.02
Open-set speech recognition- understanding speech without visual clues (<b>speech</b> reading).,speech.n.en.02
"*Ross D, Choi J, Purves D (2007) Musical intervals in <b>speech</b>.",speech.n.en.02
"Citizens in Myitkyina and other townships in northern Myanmar were coerced into joining pro-government rallies designed to manufacture a show of support for a national convention, though most of the <b>speeches</b> were simply condemnations from junta leaders of the uprisings.",speech.n.en.01
"Speech therapy sessions include a wide variety of activities and <b>speech</b> drills, though what specifically happens in any given session will depend upon many variables.",speech.n.en.02
"Today, anti-Semitic pronouncements, <b>speeches</b> and articles are common in Russia, and there are a number of anti-Semitic neo-Nazi groups in the republics of the former Soviet Union, leading Pravda to declare in 2002 that ""Anti-semitism is booming in Russia.""",speech.n.en.01
Hruska is best remembered in American political history for a 1970 <b>speech</b> he made to the Senate urging them to confirm the nomination of G. Harrold Carswell to the Supreme Court.,speech.n.en.01
*Severn Cullis-Suzuki's <b>speech</b> at UN Earth Summit 1992 at YouTube (requires Adobe Flash),speech.n.en.01
"After explaining his childhood dreams, Pausch then began the second part of his <b>speech</b>, which was about how he enabled the dreams of others.",speech.n.en.01
"In 1884 Lynch was the first African American nominated after a moving <b>speech</b> by Theodore Roosevelt to the position of Temporary Chairman of the Republican National Convention in Chicago, Illinois.",speech.n.en.01
"In those scenes, minister Gustavo Capanema is shown delivering a <b>speech</b> with a synchronized sound.",speech.n.en.01
Most of Jacques's hare characters are portrayed with very distinctive upper class British sporting gentleman's <b>speech</b> and mannerisms.,speech.n.en.05
"P&#233;ter Moln&#225;r is a Hungarian academic and intellectual, working on questions related to communication law and freedom of <b>speech</b>.",speech.n.en.04
"This prompted an ""immediate outcry"" from hard-line clerics, who claimed that he was attacking ""the Prophet of Islam and fundamental Shiite Islamic traditions "", although Dr. Aghajari has repeatedly denied that his <b>speech</b> was intended as an attack on Islam or the Prophet.",speech.n.en.01
"When it came time to vote, it resulted in a tie, so one enterprising gentleman, Reuben F. Wilson, asked Elder Garfield (who loved to talk) to get up and make a <b>speech</b> in favor of the free school.",speech.n.en.01
"In this history-making <b>speech</b>, he committed himself to battling the Great Depression in the United States with a ""New Deal"" when he stated: ""I pledge you, I pledge myself, to a new deal for the American people.""",speech.n.en.01
"*Stanis&#322;awa Anna Okularczyk- parliamentary page- includes declarations of interest, voting record, and transcripts of <b>speeches</b>.",speech.n.en.01
* Freedom of <b>speech</b>,speech.n.en.03
"The use of concealed <b>speech</b>, without formal markers of a speaker change, is what allows the parody to work.",speech.n.en.02
