sentence,sense_id
"Darwaza did, however, suggest that the institution of a federation between Egypt and Syria would be the first <b>step</b> towards the realization of a comprehensive union.",step.n.en.01
One of the defined criteria is the change of logarithmic current slope between successive voltage <b>steps</b>.,step.n.en.05
Somana Kunita a distinctive sort of dance characterized by excellent rythmatic <b>steps</b> to the beats of Are Vadya and Donu with Mauri.,step.n.en.11
"While use of dialect in dialogue is relatively common in modern Arabic literature (for example, in the work of Yusuf Idris), Khoury introduces it into the main narrative, an unusual <b>step</b> although one clearly associated with the narrative technique of his works.",step.n.en.01
Thus begins <b>step</b> ten.,step.n.en.01
The kit has been carefully designed to facilitate rescue by lay persons by following the four simple <b>steps</b> depicted inside the cover.,step.n.en.01
Visitors must remove their shoes before the first <b>step</b> at any of the entrances.,step.n.en.03
"Capella&#8217;s work brought the theme of life as a spiritual journey to the forefront of Classical literature, a trend which Fulgentius seemed to carry a <b>step</b> further.",step.n.en.05
"Preliminary <b>steps</b> for the execution of this big project, is already under way.",step.n.en.01
The next important <b>step</b> in his life was to pack his things and go to Berkley (USA) to study guitar in the world-famous Berkley College of Music.,step.n.en.01
"In his latest book, Professor Richard Dawkins identifies a single possible intermediate <b>step</b>.",step.n.en.01
These <b>steps</b> are collectively referred to as fragment processing.,step.n.en.01
The process of publishing the paper went through several evolutionary <b>steps</b> and today 80 % of the news editing and page making gets done in the Urdu Times office in Lahore Pakistan.,step.n.en.01
Cleanrooms provide passive cleanliness but the wafers are also actively cleaned before every critical <b>step</b>.,step.n.en.01
The number of different walks of n steps where each <b>step</b> is +1 or 1 is clearly 2 n.,step.n.en.03
"The ratification of the London Agreement by France, which for some time was the last missing <b>step</b> for the Agreement to enter into force, followed a number of steps, including the recommendation in May 2006 by the French National Assembly and the French Senate to adopt the Agreement, Future patent policy in Europe, Public hearing, Consultation on future patent policy in Europe&#8211; preliminary findings, 12 July 2006, page 13. the approval by the French Constitutional Council, ""Lacompatibilit&#233; de cet accord avec la Constitution a &#233;t&#233; confirm&#233;e par une d&#233;cision du Conseil constitutionnel du 28 septembre 2006 (d&#233;cision n&#176; 2006-541 DC)."" in (French) Assembl&#233;e Nationale, Projet de Loi autorisant la ratification de l&#8217;accord sur l&#8217;application de l&#8217;article 65 de la convention sur la d&#233;livrance de brevets europ&#233;ens,, 24 August 2007, page 4. the announcement in August 2007 by the new Prime Minister Fran&#231;ois Fillon that the London Agreement would soon be ratified, (French) ""Dans les prochains jours, nous annoncerons une r&#233;forme radicale du cr&#233;dit imp&#244;t recherche pour que 100 % des d&#233;penses derecherche soient prises en compte.",step.n.en.01
"The next <b>step</b> is crucial: the search for an un-frustrated structure by allowing for curvature in the space, in order for the local configurations to propagate identically and without defects throughout the whole space.",step.n.en.01
"*""Know Better"", ""Apart From Me"", and"" This <b>Step</b> Alone"", ""Forever in You"" (iTunes and Japan bonus track), Fight for Love, Elliott Yamin (2009)",step.n.en.03
"The complex finale to Act I is based around keys related by thirds (four moves down a third, then a half tone <b>step</b>)- possibly to represent the downwards progression of the plot- Robbins Landon has observed that this sequence is imitated in the opening numbers of Mozart's Cosi Fan Tutte.",step.n.en.08
The Yemenite <b>step</b> is a dance step widely used in Yemenite Jewish dancing and Israeli folk dancing.,step.n.en.11
It is located just a few <b>steps</b> off the Place Beauvau in the Rue de Miromesnil.,step.n.en.06
"When he is unable to negotiate a complicated figure, the Captain <b>steps</b> in to demonstrate.",step.n.en.03
"As an empty stall passes the entrance a cow <b>steps</b> on, facing the centre, and rotates with the turntable.",step.n.en.03
"Following early <b>steps</b> in Catholic Emancipation, Catholics were first admitted in 1793, prior to the equivalent change at the University of Cambridge and the University of Oxford.",step.n.en.01
The local and state government are undertaking <b>steps</b> to develop the economy of the Spokane region.,step.n.en.01
"However, some semi-auto pistols are double action only, and are designed to omit the first <b>step</b>.",step.n.en.01
"Robert Chazan's belief is that the effect was minimal in the end &#8211; both cultures were, in many ways, used to the persecution that was being enacted, and that this was just another <b>step</b>.",step.n.en.01
*1958: Foundation of the United Arab Republic as a first <b>step</b> toward a Pan-Arab nation; it is formed by Egypt and Syria (until 1961).,step.n.en.01
"Short and slight, James Gordon kept a small <b>step</b> ladder [to see over the heads of the chorus] near the prompt corner so he could stand on it, peer through his pince-nez spectacles at us and not miss a single movement.",step.n.en.04
"On the other hand, upon entering a Nikah Mut 'ah, a pre-set date of expiration is set to the marriage contract, and the marriage is automatically annulled at the arrival of the date, without any conflict resolution <b>step</b>.",step.n.en.01
"Although this procedure was somewhat inaccessible, it represented a first <b>step</b> toward the comparative stylistic analyses that would serve as a foundation for modern art history.",step.n.en.01
Starting with the 2004&#8211;05 re-organisation the Hellenic League became a <b>step</b> 5 and 6 league in the National League System.,step.n.en.01
