sentence,sense_id
", and classified as a Vulnerable species (VU) by the IUCN Red List Vanilla andamanica Orchids: status <b>survey</b> and conservation action plan, by Eric H&#225;gsater, Vinciane Dumont, Alec M. Pridgeon, IUCN/SSC Orchid Specialist Group.",survey.n.en.01
A 1996 <b>survey</b> of Canadian international and domestic joint ventures identified the benefits as:,survey.n.en.01
He has participated to a FNSEA (main agricultural trade union) project about agricultural conflict situations and he was manager in Europe for IRENE of the WTO <b>survey</b> in association with the CBI (Consensus Building Institute) and the FGV Brazil about the evaluation of the agricultural negotiations in June 2004.,survey.n.en.01
"MHN is committed to improving the health and wellness of men, boys, and their families through education campaigns, data collection, <b>surveys</b>, toll-free hotlines, and work with health care providers.",survey.n.en.01
A <b>survey</b> of fast exponentiation methods.,survey.n.en.02
"The song was also highly popular in the US, reaching peaks of #4 pop and #2 easy listening in Billboard magazine <b>surveys</b>.",survey.n.en.01
U.S. Geological <b>Survey</b>) ()]..,survey.n.en.01
"Calcutta institutions, which have their own press or publishing house typically host stalls- including the Indian Museum, Asiatic Society, <b>survey</b> institutes like Zoological Survey of India, Botanical Survey of India, Geological Survey of India, and universities like University of Calcutta, Jadavpur University and Rabindra Bharati University.",survey.n.en.01
A 1996 <b>survey</b> that sought to determine whether the species still existed in the area failed to find any examples.,survey.n.en.01
* BGS- (i) Bristol Grammar School- British Geographical <b>Survey</b>,survey.n.en.01
"Standard works on Welsh history and early/medieval Wales which do not mention Cynllibiwg at all include the following: John Davies, History of Wales (Penguin, 1992); Sir J. E. Lloyd, A history of Wales from the earliest times to the Edwardian Conquest (revised ed., 1937), the classic <b>survey</b> of the period; R. R. Davies, Conquest, Coexistence and Change: Wales 1063-1415 (Oxford University Press, 1991), probably the most comprehensive and authoritative single volume survey of the period; Wendy Davies, Wales in the Early Middle Ages (University of Leicester Press, 1982), (refers once to Cynllibiwg as a named early region, based on Nennius); J. Beverley Smith, Llywelyn ap Gruffudd, Tywysog Cymru (University of Wales Press, 1986), the most detailed history of the reign of Llywelyn the Last, a period which saw him leading several campaigns in the area claimed as a kingdom of Cynllibiwg.",survey.n.en.02
"For a classic <b>survey</b> of other versions of verificationism, see Hempel, Carl.",survey.n.en.02
"The Office is part of Land Information New Zealand, the New Zealand Government Agency responsible for <b>survey</b>, land valuation, land titles and mapping.",survey.n.en.03
"Mr Fakatou had been instructed by P&amp;I insurers British Marine to conduct a Loss Prevention Survey, however, delays in carrying out the <b>survey</b> meant that the survey was written up on 6th and 7th of August, after the vessel had sunk!",survey.n.en.01
"Page 79 of Gibson, D. F. (David F.) (1986) A biological <b>survey</b> of the Tanami Desert in the Northern Territory Alice Springs, N.T.: Conservation Commission of the Northern Territory, 1986.",survey.n.en.01
"According to a <b>survey</b> conducted by ProKarelia, the area has natural advantages that, under the Finnish rule, would make it a centre of trade with Russia and industry and thus bring economic growth fast enough to solve the entire problem.",survey.n.en.01
"Pidgins and Creoles: References <b>survey</b>, John A. Holm, Cambridge University Press, 1989, p.286 Almost all the present day Goan Catholics are descendants of these local converts to the religion.",survey.n.en.01
"In a 1999 Canadian <b>survey</b> of formal child care centres, labour accounted for 63 % of costs and the industry had an average profit of 5.3 % No40-XIB-pages 1-4.",survey.n.en.01
"*Link to a <b>survey</b> report compiled after Expedition' Job 74', May 2007",survey.n.en.01
U.S. Geological <b>Survey</b>) ()]..,survey.n.en.01
"GLAST was expected to have switched to ""sky <b>survey</b> mode"" on June 26, 2008 so as to begin sweeping its field of view over the entire sky every three hours (every two orbits).",survey.n.en.03
* Report of Committee on pigmentation <b>survey</b> of the schoolchildren of Scotland (with others) (Rep.,survey.n.en.01
"* In 2007, a <b>survey</b> of more than 3,600 consultants performed by career information site Vault, Katzenbach Partners ranked as one of the ""Top 50 Most Prestigious Firms ""(#18) Consulting Firm Rankings: Vault Top 50 Management &amp; Strategy Consulting Firms, one of the ""20 Best Firms to Work For ""(#15) Consulting Firm Rankings: Vault Top 50 Management &amp; Strategy Consulting Firms and one of the ""Best 20 For Diversity"" (#3) Consulting Firm Rankings: Vault Top 50 Management &amp; Strategy Consulting Firms",survey.n.en.01
*Red Kites in Berkshire (Berkshire Ornithological Club)- 2006/2007 <b>Survey</b>,survey.n.en.01
"Ruggles, Edward; New- Hampshire, from late <b>surveys</b>; O.T. Eddy engraving; Walpole, NH, 1817",survey.n.en.01
Most empirical knowledge of soil in nature comes from soil <b>survey</b> efforts.,survey.n.en.01
The most important north&#8211;south lines of the <b>survey</b> are the meridians:,survey.n.en.01
Other Important <b>Surveys</b>: The Maldives and the Chagos,survey.n.en.02
"In the 1997 land <b>survey</b> [update], 5.6 % of the total land area was heavily forested, while 2.1 % is covered in small trees and shrubbery.",survey.n.en.01
"The publication also conducts The National Salary and Workplace Survey of Nurse Practitioners every two years, and the 2007 <b>survey</b> garnered more than 6,000 responses.",survey.n.en.01
U.S. Geological <b>Survey</b>) ()]..,survey.n.en.01
"Thus, he proposed to produce one of the possible <b>surveys</b> of this domain.",survey.n.en.03
The Early Medieval Balkans: A Critical <b>Survey</b> from the Sixth to the Late Twelfth Century.,survey.n.en.01
"Guided tours began in 1969, and a second <b>survey</b> in 1987 established the cave system&#8217;s length at between four and five kilometers.",survey.n.en.01
"In 1996 the Geographical Association organized a further field-based <b>survey</b> with the participation of around 50,000 school pupils.",survey.n.en.01
Some <b>surveys</b> have concluded that 6 to 10 percent of dowry complaints are false and were registered primarily to settle scores.,survey.n.en.01
"These draw representative samples of households and <b>survey</b> them, following all individuals through time on a usually annual basis.",survey.n.en.03
"In November 2007, the County Council ran a short <b>survey</b> to assess the impact of the service ""[(Norfolk County Council) ()]..",survey.n.en.01
"Four Maritime Poets: a <b>survey</b> of the works of Alden Nowlan, Fred Cogswell, Raymond Fraser and Al Pittman, as they reflect the spirit and culture of the Maritime people.",survey.n.en.01
"The name change was approved by the board of directors in May 2009, after a nearly two year process of evaluation, <b>survey</b> and discussion.",survey.n.en.01
"The government later revised this estimate upwards to 55,000, based on a <b>survey</b> of a sample of owners of businesses with employees, which found that 5 % of them define themselves as social enterprises Lincoln, A. (2006) Welcome address: DTI presentation to Third Annual UK Social Enterprise Research Conference, London South Bank University (22 June).",survey.n.en.01
"Sarah M. Hyson,"" A Preliminary <b>Survey</b> of the Historic Plays and Players Theatre: Preservation Issues to Be Addressed "", University of Pennsylvania Theses (Historic Preservation), 2005.",survey.n.en.02
The Koolhoven F.K.49 was a photographic <b>survey</b> aircraft built in the Netherlands in 1935.,survey.n.en.03
"In 2004, a Australian Strategic Policy Institute <b>survey</b> showed 29 % of those polled identified Indonesia as 'most likely' to pose a threat to Australia in the future, a slight decline from the figure of 31 % recorded in 2001.",survey.n.en.01
