sentence,sense_id
/ (Orchestra Hall)latd&gt;90 in latd&lt;-90 in | | Cook | | A <b>symphony</b> hall.,symphony.n.en.02
"He wrote music for several songs including &#8220;Vieneme &#8216;nzuonno Napule !&#8221;, and he composed marches, <b>symphonies</b> and musical dramas, among them ,Voglio Turn&#224; a Mamma, &#8217;O Ritorno d&#8217; o ferito, A parteza p&#232; Tripoli, O Richiamato.",symphony.n.en.01
The romantic generation viewed Beethoven as their ideal of a heroic artist&#8212;a man who first dedicated a <b>symphony</b> to Consul Bonaparte as a champion of freedom and then challenged Emperor Napoleon by striking him out from the dedication of the Eroica Symphony.,symphony.n.en.01
"67; <b>symphony</b> for integrated orchestra, soloists and choir; 2001, rev.",symphony.n.en.01
The Symphony No. 3 is unique in Tchaikovsky's symphonic output in two ways: it is the only one of his seven <b>symphonies</b> (including the unnumbered Manfred Symphony) in a major key; and it is the only one to contain five movements (an additional Alla tedesca movement occurs between the opening movement and the slow movement).,symphony.n.en.01
The cycle used performances by the New York Philharmonic-- the same orchestra that Mahler led during a brief tenure between 1909 and his death in 1911-- as well as a performance of the 8th <b>symphony</b> by the London Symphony Orchestra.,symphony.n.en.01
"The official tone toward the Fifth Symphony was further set by a review by Alexei Tolstoy, who likened the <b>symphony</b> with the literary model of the Soviet Bildungsroman describing"" the formation of a personality"" &#8212;in other words, of a Soviet personality.",symphony.n.en.01
Eisler continued to work on the <b>symphony</b> during his wartime exile and in the USA prior to his enforced departure in 1947.,symphony.n.en.01
"During a composer's seminar, while a recording of Hovhaness's first <b>symphony</b> was being played, Aaron Copland talked loudly in Spanish to the Latin American composers in the room, and when the recording finished, Leonard Bernstein went to the piano, played a melodic minor scale, and remarked, ""I ca n't stand this cheap ghetto music.""",symphony.n.en.01
"While the Eighth has been described as, and called by its composer, a choral <b>symphony</b>, some critics have suggested the key to understanding Part I is by considering it Mahler's tribute to one of Bach's major motets, quite possibly Singet dem Herrn ein neues Lied.",symphony.n.en.01
"His first composing works were a string quartet, created in 1963 during his studies in Baku conservatory and a <b>symphony</b>, written in 1965.",symphony.n.en.01
"The composer himself was initially unsure what to call the work, eventually designating it a symphony rather than a song cycle to emphasise the unity of the work musically and philosophically: most of the poems deal with the subject of mortality (he rejected the title oratorio because the work lacks a chorus; it is not a choral <b>symphony</b> for the same reason).",symphony.n.en.01
"Straus' production of Haitink's Mahler <b>symphony</b> interpretations with the Berlin Philharmonic, Haitink's Brahms cycle with the Boston Symphony, and Haitink's Bruckner performances with the Vienna Philharmonic are notable for their engineering as well as their musical excellence.",symphony.n.en.01
"Losing numerous musicians, Zorzi resigned, and though the 1970 appointment of Spanish conductor Jacques Bodmer as director was followed by a sponsorship from the Italian Embassy, lack of federal support kept the <b>symphony</b> on the brink of closure throughout 1971 and 1972.",symphony.n.en.02
"His compositions include nine complete string quartets (plus two partially completed), a piano quintet, two string quintets and other chamber works, including a piano prelude and fugue in G-sharp minor; four <b>symphonies</b> (only one published during his lifetime, and at least one incomplete), a concert suite with violin and a piano concerto, and other orchestral works; an organ composition"" Chorale with variations ""; choral and vocal music.",symphony.n.en.01
"*In addition, there are numerous manuscripts found in libraries scattered throughout Europe, including three concertos and one sonata for flute, six trio sonatas for two violins and continuo, as well as several violin concertos and <b>symphonies</b>.",symphony.n.en.01
A <b>symphony</b> in D minor was published by Breitkopf &amp; H&#228;rtel in 1883.,symphony.n.en.01
"The <b>symphony</b> opens with a trumpet motto, forcefully stated, and shadowed by timpani; this is eventually woven into a theme for strings, over which woodwinds begin a climb.",symphony.n.en.01
