sentence,sense_id
"In the series, the Old Ones (the technologically advanced society that has ""moved on ""and left the world in ruin) sought to replace the magical means by which the world was controlled with <b>technology</b> from North Central Positronics.",technology.n.en.01
* Which <b>technologies</b> are hot (or just hyped),technology.n.en.01
"Telehaptic interactivity, a form of assistive <b>technology</b>, may involve synesthesia; e.g.",technology.n.en.01
"Students throughout the city interested in a technology education can apply to learn from three different strands: pre-engineering technology, information technology, and entrepreneurship <b>technology</b>.",technology.n.en.01
"GI Microelectronics was a manufacturer of LSI circuits and a pioneer in MOS <b>technology</b> and EAROM (Electrically Alterable ROM), with both off-the-shelf and custom circuits.",technology.n.en.01
"Other notable business companies include, Purple i- an IT expert company providing solutions to many restaurants, ""[(Purple-i <b>technologies</b>) ()]..",technology.n.en.01
"The early models of the firing-synchronisation <b>technology</b> did not work well, especially considering the tendency of the ammunition of the time to hang-fire, which often resulted in the aircrafts' propellers' being shot away.",technology.n.en.01
(The acronym RADAR was coined by the Navy at that time as a cover for the highly classified work in this new <b>technology</b>.),technology.n.en.01
The Center works closely with technologists at the New York State Court System's Office of Court Administration in an effort to promote the use of innovative <b>technology</b> and support the expansion of problem-solving justice.,technology.n.en.01
"Simultaneously, in a multilingual country of 1 billion people, where only 7 percent speak English, Dr. Bhatkar launched a mission for developing multilingual <b>technology</b> encompassing all languages of India.",technology.n.en.01
Rear-projection SMART Board interactive whiteboards and flat-panel overlays use DViT <b>technology</b>.,technology.n.en.01
"The Coupe 60 celebrates the six decades since Holden built the 48-215 at its Fishermans Bend plant in Port Melbourne, Victoria, and provides a glimpse of Holden's future directions in design, engineering and emerging engine <b>technologies</b>.",technology.n.en.01
"He has advanced an 'alternative' to Moore's law (May's law) stated as follows: Software efficiency halves every 18 months, compensating Moore&#8217;s Law He goes on to state In ubiquitous systems, halving the instructions executed can double the battery life and big data sets bring big opportunities for better software and algorithms: Reducing the number of operations from N x N to N x log( N) has a dramatic effect when N is large... for N = 30 billion, this change is as good as 50 years of <b>technology</b> improvements",technology.n.en.01
* Ocean energy describes all the <b>technologies</b> to harness energy from the ocean and the sea:,technology.n.en.01
Priority is given to <b>technologies</b> that can address high-risk environmental problems.,technology.n.en.01
"Marino 2004a, 18 As graphics <b>technology</b> improved, machinima filmmakers used other video games and consumer-grade video editing software.",technology.n.en.01
"In 2010, mankind's <b>technology</b> has advanced to the point that anyone can easily travel from one planet to another through the use of interplanetary warp gates.",technology.n.en.01
*Shigeo Hirose- pioneer of Robotics <b>technology</b>,technology.n.en.01
"It is also concerned with related issues in social interactions with <b>technology</b> around roles, expertise, knowledge, pedagogy, accreditation, power, participation and democracy.",technology.n.en.01
