sentence,sense_id
"Meyer concludes that Reform Jews have ""a shared feeling of <b>tension</b> that cannot be fully resolved, even as the contradictory forces and divisive issues which produce it themselves remain beyond final resolution.""",tension.n.en.01
"We are committed to upholding, implementing and further strengthening the multilateral disarmament and non-proliferation framework in the fight against threats which are tending to escape the control of national sovereignty, the challenges deriving from destabilising accumulation and spread of small arms and light weapons, from illicit or irresponsible arms trade, and from the proliferation of weapons of mass destruction, which are creating new and growing hot-spots of international <b>tension</b>.",tension.n.en.05
"After the Baathists took power in 1968, Saddam focused on attaining stability in a nation riddled with profound <b>tensions</b>.",tension.n.en.05
The 'ethnic' <b>tensions</b> that arose in modern times stem from this religious division.,tension.n.en.05
"*Colonial <b>Tensions</b> Reemerge in Ivory Coast, Washington Post Friday, November 19, 2004; PageA01",tension.n.en.05
Implementation of the laws led to much <b>tension</b> within Texas.,tension.n.en.05
"At the time, employment was bad, and competition for the available seats only exacerbated ethnic <b>tensions</b>.",tension.n.en.05
There are significant <b>tensions</b> between Arab citizens and their Jewish counterparts.,tension.n.en.05
"Political <b>tensions</b> with neighboring countries like Peru over mining and other resources to support the growing population, and struggles between the growing urban mestizo population and indigenous peoples over land and resources have underlined the political struggles in recent years.",tension.n.en.05
"These flights took a systematic nature, which only increase <b>tensions</b> in the conflict zone &#8230; It is important that UNOMIG continues investigation of the root cause of the problem. &#8221;",tension.n.en.05
This loop is handy for taking an inoculum from a liquid by using the phenomenon of surface <b>tension</b>.,tension.n.en.04
"For the simple case of a body axially loaded, e.g., a prismatic bar subjected to <b>tension</b> or compression by a force passing through its centroid (Figure 1.2), the stress, or intensity of the distribution of internal forces, can be obtained by dividing the total tensile or compressive force by the cross-sectional area where it is acting upon.",tension.n.en.02
"Surfactants lower the surface <b>tension</b> of water, making it able to flow into smaller tiny cracks and crevices in soils making removal easier.",tension.n.en.04
"The attorney arranges Pratt's release, leading to rising <b>tensions</b> within the Homicide unit and even a physical altercation between Munch and Pembleton.",tension.n.en.05
"This provoked <b>tensions</b> between the League of Communists of Slovenia on one side, and the central Yugoslav Party and the Federal Army on the other side.",tension.n.en.05
"A diverse ethnic population gave rise to socio-economic <b>tensions</b>, and the demand for the creation of the separate states of Gorkhaland and Kamtapur along ethnic lines grew popular in the 1980s.",tension.n.en.05
", yet on this date rumours circulated that Berrabah had quit Sugababes, due to rising <b>tensions</b> with Buchanan and due to be replaced by 2009's Eurovision Entry Jade Ewen.",tension.n.en.05
"Although the settlers were able to survive by farming and fishing, the initial period of settlement was marked by serious <b>tensions</b> among the settlers.",tension.n.en.05
"Afterwards, Daphne became romantically interested in Justin, causing some <b>tension</b> between them.",tension.n.en.01
Sibling rivalry causes <b>tension</b> for the Warners.,tension.n.en.05
"Although relations between self-identified BDSM practitioners and lesbian feminists had been strained since the late 1970s and early 1980s, <b>tensions</b> came to a boil at MWMF during the years 1987 through 1990.",tension.n.en.05
* <b>Tensions</b> between Antiochus III and Rome increase when Hannibal is given refuge by Antiochus III at Ephesus and becomes his adviser.,tension.n.en.05
"In 1951 the <b>tensions</b> in the area were raised when, in the lake Huleh area (10 km from Banias), Israel initiated a project to drain the marsh land to bring 15,000 acres into cultivation.",tension.n.en.05
Georgia-Russia <b>tensions</b> ramped up..,tension.n.en.05
<b>Tensions</b> were rising between the Vietnamese and the Cambodians but open warfare had n't yet broken out.,tension.n.en.05
"<b>Tensions</b> eventually rose to the point where this arrangement could no longer be maintained, and on January 1, 1854 several new municipalities were formed, leaving only Kinloss Township and Bruce Township in union with Kincardine.",tension.n.en.05
This allows the tack to slide up and down the forestay to adjust the luff <b>tension</b>.,tension.n.en.06
"The <b>tension</b> is masterfully built and finally released at approximately two minutes into the piece, with a cascade of instruments triumphantly playing the initial theme at a somewhat faster pace.",tension.n.en.03
The camping trip goes badly and <b>tensions</b> are running high between the counselors.,tension.n.en.05
"When a surfactant is added, it would decrease the interfacial <b>tension</b>, thus increasing the spreading coefficient (i .e.",tension.n.en.04
It deals heavily with Dr Bojangles' survival of the harsh Antarctic winter and the <b>tension</b> between Dr Bojangles and Ritt Parker.,tension.n.en.05
There have also been periodic <b>tensions</b> with other Christian denominations who reject the idea that Christian Science is a Christian denomination because of what some consider to be unorthodox tenets.,tension.n.en.05
"From the end of World War II almost until the start of the 21st century, Western and world politics were dominated by the state of <b>tensions</b> and conflict between the world's two superpowers, the United States and the Soviet Union.",tension.n.en.05
"Whites continued to resort to lynchings to keep dominance, and <b>tensions</b> rose.",tension.n.en.05
"Punchbowl and Lakemba, focal points of much ethnic <b>tension</b> and ethnic-based crime;",tension.n.en.05
"The increasingly upscale nature of the city- not just the northern part, which was always affluent, but the southern Ocean Park neighborhood as well which has become a favorite of those in the entertainment industry- has created some <b>tensions</b> between newcomers and longtime residents nostalgic for the more bohemian, countercultural past.",tension.n.en.05
That <b>tension</b> still lingers somewhat to date.,tension.n.en.05
"He is married to April Green, though there is much <b>tension</b> in their marriage due to Eric's philandering.",tension.n.en.05
"Among these we find: relaxation-induced anxiety and panic; paradoxical increases in <b>tension</b>; less motivation in life; boredom; pain; impaired reality testing; confusion and disorientation; feeling 'spaced out'; depression; increased negativity; being more judgmental; and, ironically, feeling addicted to meditation Shapiro 1992, cited in Perez-De-Albeniz, Alberto and Holmes, Jeremy.",tension.n.en.01
Figure 3: Effects of different substances on the surface <b>tension</b>,tension.n.en.04
"Supporters of the union government idea viewed multiparty political contests as the perpetrators of social <b>tension</b> and community conflict among classes, regions, and ethnic groups.",tension.n.en.05
"Like many British sitcoms, there was a class-related <b>tension</b> between the two; with the Pearces working class socialists from Yorkshire, and the Cochrans a more affluent, middle-class Conservative couple from Henley-on-Thames in Oxfordshire.",tension.n.en.05
