sentence,sense_id
"This field emerges from the <b>theory</b> that most vectors, hosts and pathogens are commonly tied to the landscape as environmental determinants control their distribution and abundance.",theory.n.en.02
"Investigation News This <b>theory</b>, along with the others tested, was 100 percent excluded through DNA testing.",theory.n.en.01
"The Locard exchange principle, also known as Locard's <b>theory</b>, was postulated by 20 th century forensic scientist Edmond Locard.",theory.n.en.01
"Although there are numerous <b>theories</b> on who assassinated Palme, the RAF was one of the organisations which",theory.n.en.03
Main Article: UFO conspiracy <b>theory</b>,theory.n.en.03
"* A single, unified force in a Theory of everything/unified field <b>theory</b> or Grand unification theory.",theory.n.en.01
Most of the literary sources for the origin of the Romanians have been interpreted in various ways by the adherents of divergent scholarly <b>theories</b>.,theory.n.en.01
"Since simplicial sets have a good homotopy <b>theory</b>, one can ask questions about the meaning of the various homotopy groups n (N( C)).",theory.n.en.01
"Percy therefore sees his task as coming up with a new <b>theory</b> of man, which he chooses to center on language, man's attribute that separates him from the animals; The Message in the Bottle will attempt to explain man's strange behavior and unexplained sadness by explaining how man deals with language and symbols.",theory.n.en.02
"Using the two equations in the rewrite <b>theory</b> NAT Maude was able to reduce our term into the desired term, the representation of the number two i .e. the second successor of 0. At that point no other application of the two equations were possible, so Maude halts.",theory.n.en.01
"This emerged from a number of different areas: in sociology during the 1950s; from the <b>theories</b> of the psychoanalyst Jacques Lacan; and in the work of French psychoanalysts like Julia Kristeva, Luce Irigaray, and American feminists such as Judith Butler.",theory.n.en.02
The third component of the identity control <b>theory</b> is comparator.,theory.n.en.01
Each type of activity has its own needs and can in <b>theory</b> be regulated separately.,theory.n.en.02
"In theory, telephone tapping often needs to be authorized by a court, and is, again in <b>theory</b>, normally only approved when evidence shows it is not possible to detect criminal or subversive activity in less intrusive ways; often the law and regulations require that the crime investigated must be at least of a certain severity.",theory.n.en.03
"#On the <b>theory</b> of free stream lines, Phil.",theory.n.en.01
"Inaudita, ac nova, &amp; praeter expectationem, p. 89 in the Basel 1564 edition of Lucullianarum quaestionum; Glyn P. Norton with Marga Cottino-Jones, ""<b>Theories</b> of Prose Fiction and Poetics in Italy: novella and romanzo,"" in The Cambridge History of Literary Criticism, vol.",theory.n.en.01
"It is sometimes desirable, particularly in measure <b>theory</b>, to further refine this general definition by considering the special case when X is a locally compact Hausdorff space.",theory.n.en.01
"(Strictly, the universal property approach was invoked; this is somewhat more general than category <b>theory</b>, and the relationship between the two as alternate ways was also being clarified, at the same time.)",theory.n.en.01
*Schur's lemma (representation <b>theory</b>),theory.n.en.01
"He changes his mind on family matters, however, when he meets Professor Appleby on a train and hears his <b>theories</b> on eugenics.",theory.n.en.02
"The <b>theory</b> is similar to that of a single probe, except that the current is limited to the ion saturation current for both positive and negative voltages.",theory.n.en.01
"In computational condensed-matter physics, the Harris energyfunctional is a non-self-consistent approximation to Kohn-Sham density functional <b>theory</b>.",theory.n.en.01
See Getting to Zero Waste This is not primarily a study of chemical reuse but applies the lessons learned there to the <b>theory</b> of universal reuse of all goods.,theory.n.en.02
To'stott' is Geordie meaning 'to bounce' Definition of stot because if dropped it would (in <b>theory</b>) bounce.,theory.n.en.02
"The wave <b>theory</b> was wildly successful in explaining nearly all optical and electromagnetic phenomena, and was a great triumph of nineteenth century physics.",theory.n.en.01
