sentence,sense_id
"Prince Su was a close friend of Japan's Empress's <b>uncle</b>, Prince Kanin.",uncle.n.en.01
"* The <b>Uncles</b>, 2004",uncle.n.en.01
"Jill begins a romantic relationship with William Bardwell (Ted Shackelford), the District Attorney, who has just inherited a fortune from his late <b>uncle</b>.",uncle.n.en.01
"According to the FES ending, Bebe was planning to convince his uncle with the kimono, but he realized that all the people that helped support his trip to Japan were suffering in his absence, especially his widowed <b>uncle</b>, so he stayed.",uncle.n.en.01
"Especially noteworthy among the letters are two in which he describes the eruption of Mount Vesuvius in August 79 during which his <b>uncle</b> Pliny the Elder died (Epistulae VI.16, VI.20), and one in which he asks the Emperor for instructions regarding official policy concerning Christians (Epistulae X.96).",uncle.n.en.01
"Following the resignation of the Chancellor Prince Metternich during the Revolutions of 1848, the young Archduke, who it was widely expected would soon succeed his <b>uncle</b> on the throne, was appointed Governor of Bohemia on 6 April, but never took up the post.",uncle.n.en.01
Later he along with his family migrated to Karachi and joined PCSIR upon his <b>uncles</b> advice.,uncle.n.en.01
"At the age of seven, Fritsch found a violin in the attic of his <b>uncle</b>'s house in Bensheim, and began lessons with a village music teacher named Knapp.",uncle.n.en.01
"As a child he had some bad experiences; the hostility from his maternal uncle's family, a frightening encounter with his insane maternal adopted <b>uncle</b>, and the death of his seven-month old brother (Shashidhar).",uncle.n.en.01
"His <b>uncle</b>, Henry Foulkes was principal of the college from 1817 to 1857.",uncle.n.en.01
"The album's lyrics explore diverse subject matter as opposed to their previous albums; ""Devour"" ventures into political territory while ""What a Shame"" tells a story about lead singer Brent Smith's <b>uncle</b>, who died during the recording of the album.",uncle.n.en.01
Lorenzo Iglesias Espinach became both the heir of his <b>uncles</b> and sub-Prefect of Cajamarca; was a friend of Simon Bolivar who stayed with him in Cajamarca; and was one of the group of dissident Spanish colonists who supported independence from Spain.,uncle.n.en.01
Her <b>uncle</b> George Palaeologus was present at Pelekanon in June 1097 when Alexius I discussed future strategy with the crusaders.,uncle.n.en.01
The dead <b>uncle</b> gets out of his wheelchair and does a tap dance while everyone else forms a kickline.,uncle.n.en.01
"During the last year of the reign of his maternal <b>uncle</b> King Richard III, he was designated heir to the throne.",uncle.n.en.01
"Some have suggested that Modotti was introduced to photography as a young girl in Italy, where her <b>uncle</b>, Pietro Modotti, maintained a photography studio.",uncle.n.en.01
"After his father's death in 1664, Purcell was placed under the guardianship of his <b>uncle</b>, who showed him great affection and kindness.",uncle.n.en.01
"Ten years of violence and conflict followed in the domain, reaching a climax in 1671 when Aki Muneshige, a powerful relative of the Date, complained to the shogunate of the mismanagement of the fief under Tsunamura and his <b>uncles</b>.",uncle.n.en.01
In 1904 Chicherin inherited the estate of his celebrated <b>uncle</b> &#8212; Boris Chicherin &#8212; in the Tambov region and became very wealthy.,uncle.n.en.01
"A native of Troia in Apulia, southern Italy, he was the brother of 1915 Indy winner Ralph DePalma and the <b>uncle</b> of 1925 Indy winner Pete DePaolo.",uncle.n.en.01
"After the death of his <b>uncle</b> Gille Brigte in 1185, Lochlann went about to seize the land of Gille Brigte's heirs.",uncle.n.en.01
"His <b>uncles</b> were Balthasar B&#225;thory and Cardinal Andrew B&#225;thory, who had both briefly reigned over Transylvania.",uncle.n.en.01
