sentence,sense_id
"In analysis, the proprieties of the equations are used to investigate the behavior of the system depending of the values of the parameters and <b>variables</b>.",variable.n.en.01
Main article: Homogeneous polynomialMonomials in n real <b>variables</b> define homogeneous functions: R n R.,variable.n.en.04
"Every application contains al least a Code #0 resource with size information and jump tables, a Code #1 resource with executable code and data resources containing pre-initialized values of global <b>variables</b> in compressed form.",variable.n.en.01
Single equation methods model a single variable (the dependent variable) as a function of one or more explanatory (or independent) <b>variables</b>.,variable.n.en.02
"65) This is because every new observed phenomenon would require the addition of new unit-level variables, which leads to the highly subjective addition and wild proliferation of <b>variables</b>.",variable.n.en.01
Then are independent uncertain <b>variables</b>.,variable.n.en.01
"#casual-comparative studies, which attempt to investigate why the current status exists by making comparisons of phenomena to determine what <b>variables</b> accompany certain practices, activities, or conditions",variable.n.en.01
Cram&#233;r later wrote his careful study of the field in his Cambridge publication Random <b>variables</b> and probability distributions which appeared in 1937.,variable.n.en.01
The evaluation restricted of the <b>variables</b> that are in this constraint is inconsistent and is usually shorter than the complete evaluation.,variable.n.en.01
"On the other hand, a local (automatic) <b>variable</b> is a variable defined inside a function block.",variable.n.en.01
"Among the findings, it was stated that a &#8220;father&#8217;s education and <b>variables</b> indicating the economic conditions of childhood were the most important in predicting the size of inheritances. &#8221;",variable.n.en.01
Rings of polynomials in a finite number of <b>variables</b> are of fundamental importance in algebraic geometry which studies the simultaneous zero sets of several such multivariate polynomials.,variable.n.en.04
He has recently conducted research on replication issues in parapsychology and psychological <b>variables</b> associated with paranormal belief.,variable.n.en.01
"In statistics, a central composite design is an experimental design, useful in response surface methodology, for building a second order (quadratic) model for the response <b>variable</b> without needing to use a complete three-level factorial experiment.",variable.n.en.02
"Other factors include microclimate, soil properties, and stand <b>variables</b>.",variable.n.en.01
"Such a family of related processes had to be written as a single program unit, processing procedures at higher lex levels as the asynchronous processes which could still access global variables and other <b>variables</b> at lower lex levels.",variable.n.en.01
Chaotic dynamics Time series of the norm of the difference map increment in the course of solving a random 3-SAT instance with 1000 <b>variables</b> and 4200 clauses.,variable.n.en.02
Odd and even <b>variables</b>.,variable.n.en.01
* Several complex <b>variables</b> Notes References,variable.n.en.01
