sentence,sense_id
"As the infestation increases, the <b>victim</b> will begin to experience escalating tissue irritation, and in the case of domesticated animals may be observed to become withdrawn, listless, and anorexic.",victim.n.en.01
* over-conscientiousness- <b>victim</b> is too willing to give manipulator the benefit of the doubt and see their side of things in which they blame the victim,victim.n.en.02
"When Maggie herself nearly becomes a <b>victim</b> of the unseen killer, she must dive into her past to uncover some terrible secrets that her friends may be hiding from her, which leads to one or more of them who may be the killer.",victim.n.en.01
"During the first years of its life, Telemadrid occupied the buildings of the Agencia EFE, where it suffered at lunchtime of May 29 of 1993 a terrorist attack of GRAPO without <b>victims</b>, which it covered live on its own channel.",victim.n.en.01
"The Alliance Isra&#233;lite Universelle in France ""rejected all forms of violence, regardless of author or <b>victim</b>,"" but ""indignantly protested the barbarous treatment inflicted on an entire innocent population.""",victim.n.en.01
"The Turkish fishing boat becomes the first <b>victim</b> of a Kraken attack in Dead Man's Chest; a sailor pulls Jack Sparrow's tricorne from the water and tries it on, unwittingly calling the Kraken.",victim.n.en.01
"Having won the toss, skipper Ronnie Irani was the first <b>victim</b> of the Worcestershire Royals bowling with a three-ball duck.",victim.n.en.01
Family and friends of the suicide <b>victim</b> may be at increased risk of suicide themselves.,victim.n.en.01
"In March 1977, Baconsky and his wife Clara fell <b>victims</b> to the 7.2 Richter scale earthquake which devastated Bucharest.",victim.n.en.01
"The crime is so recent that the <b>victim</b>'s blood has not yet clotted, yet the occupants of a fishing boat less than yards (&#8722;) away swear they saw nobody approach the rock for hours.",victim.n.en.01
"During the registration period, details about the <b>victims</b>, as well as perpetrators, emerged and revealed enough information to speculate the circumstances surrounding the incident.",victim.n.en.01
"Eventually by various means and devices the <b>victim</b> will be persuaded that the trunk contains a very large amount of cash which had a legitimate, or not so legitimate, reason for all this money to be in cash.",victim.n.en.02
The Kansas Attorney General's office arranged for the settlement money to be distributed to families of the <b>victims</b>.,victim.n.en.01
"The site also contains a wall with niches to represent the victims of all concentration camps with large niches representing concentration camps with <b>victims</b> of greater than 20,000 people and bells ring out every 30 seconds to commemorate the rate at which lives were lost of Belarusian people throughout the duration of the Second World War.",victim.n.en.01
The coin toss creates an illusion of hope to his <b>victims</b>.,victim.n.en.02
"Prisoners were forced to sit on the head and legs of a victim while the guard repeatedly struck the <b>victim</b> with a nailed post, reducing their buttocks to pulp.",victim.n.en.01
Whole ranks were knocked over or turned to retreat by the storm gusts and many of the dead and wounded on the battlefield were <b>victims</b> of the weather rather than enemy action.,victim.n.en.01
"* April 9 Ferm&#237;n Monasterio P&#233;rez is killed by the ETA in Biscay, Spain, being the 4th <b>victim</b> in the name of Basque nationalism.",victim.n.en.01
"Diana Johnstone argues in her article that pointing to the uncertainty in the number of victims does however not constitute a denial of the massacre [note: she does not use the term genocide] as such, nor does it show a lack of respect for the <b>victims</b>.",victim.n.en.01
"Anders and Dubrovskis estimate the total number of <b>victims</b> to be 387 individuals, plus or minus 130.",victim.n.en.01
Everything was ready for a trial designed to prove that Wallenberg had been the <b>victim</b> of cosmopolitan Zionists.,victim.n.en.01
"At this point, the <b>victim</b> would be carrying a large amount of cash and can be targeted for the theft of these funds.",victim.n.en.02
"<b>Victims</b> then come near, and, as can probably be guessed, the hangman tree drops its nooses around the necks of the victims, strangles them, and then lifts them up and drops them into an opening which leads into their stomachs at their tops.",victim.n.en.01
"Such alleged falsification of history has important consequences, say critics, for the way that the <b>victims</b> of the Holocaust might be remembered and commemorated, and the Holocaust itself historicised, thus reviving arguments that were previously aired about Steven Spielberg's Schindler's List and the manner in which that film too was seen to sanitise and falsify aspects of life in the concentration camp.",victim.n.en.01
The Dutch also provided significant amounts of relief aid to <b>victims</b> of Hurricane Mitch in Central America.,victim.n.en.01
Shoes on the Danube is a memorial to the Budapest Jews who fell <b>victim</b> to the Arrow Cross militiamen in Budapest and depicts their shoes left behind on the bank when they fell into the river after having been shot during World War II.,victim.n.en.01
"*The Qu&#233;b&#233;cois stand up comic Louis-Jos&#233; Houde has a minor supporting role in the film, playing Jeff, the coroner in charge of explaining the causes of the death of the first <b>victim</b>.",victim.n.en.01
"Famous Nazi hunters Serge and Beate Klarsfeld helped bring him to trial, and Serge and Arno Klarsfeld represented the family of the <b>victims</b>.",victim.n.en.01
"His positive, proactive outlook helped many in need including children of cocaine-addicted mothers and earthquake and firestorm <b>victims</b>.",victim.n.en.01
"If the <b>victim</b> is not shot dead by his own friends, he will eventually fall unconscious.",victim.n.en.01
"Soon after arriving home, Seacole was asked by the Jamaican medical authorities to minister to <b>victims</b> of a severe outbreak of yellow fever in 1853.",victim.n.en.01
"According to Galina Stolyarova citing the <b>victim</b> family's lawyer in Transitions Online, the court accepted the scenario in which the murderer claimed he had spontaneously suggested beating up an anti-fascist activist, and did not charge the other assaulters as accomplices in the murder.",victim.n.en.01
"Dr. Samuels refuted that claim, stating in a 1983 letter, quoted in the Toronto Star in 1991, that ""I recovered no blonde or red hairs of any length or texture... [A]ll of the hairs I recovered from the body were brown and were grossly identical to the hair of the <b>victim</b>... [I] do not like to suggest that evidence was altered in any way, but I can find no logical explanation for what amounted to the mysterious appearance of blonde hair in an envelope that contained no such hair at the time it was sealed by me.""",victim.n.en.01
"He went on to characterize ""mental manipulation"" as just that: it happens ""without the <b>victim</b> knowing it"".",victim.n.en.02
"The ongoing joke in ECW was that he was a <b>victim</b> of ""Total Elimination"" more than anyone else while also being put through countless tables by Sabu and taking dozens of guitars over the head from New Jack.",victim.n.en.02
"The seven Losers are the children who are united by their unhappy lives, their misery at being the <b>victims</b> of bullying by Henry Bowers and their eventual struggle to overcome It.",victim.n.en.01
"Here, the <b>victim</b>'s family had three options, the first were to either await payment or to sell the murderer into slavery.",victim.n.en.01
"It also expressed Yemen, its leadership, government and people&#8217;s condolences to the Pakistani leadership, government and people, and for the <b>victims</b> &#8217; families; confirming Yemen&#8217;s solidarity and its stand with Pakistani government in combating terrorism.",victim.n.en.01
"It exists in the minds of its <b>victims</b> and can transmit itself telepathically, although it can also physically manifest as a giant snake.",victim.n.en.01
