sentence,sense_id
The Forest of Hands and Teeth- the wilderness beyond the fences where <b>zombies</b> dwell.,zombie.n.en.01
"In the first half, our linemen looked like <b>zombies</b>.",zombie.n.en.04
"Many other fantasy-themed games, outside of this list, feature <b>zombies</b>.",zombie.n.en.01
As he fights off hordes of <b>zombies</b> while accomplishing specific missions.,zombie.n.en.01
"Frank is isolated in a store with Kenneth, who shoots Frank when he turns into a <b>zombie</b>.",zombie.n.en.01
"The sixth chapter, ""Living in an Undead World ""looks at survival during a doomsday scenario that would see <b>zombies</b> becoming the dominant species on Earth.",zombie.n.en.01
"She is told that without the core, the settlement's generators shut down the lights, locks, and ionic scent jammers which will cause any <b>zombie</b> in the radius to come running to them.",zombie.n.en.01
"The transplant is successful, but the resulting brain damage turns Colonel America into a battle crazed <b>zombie</b>, manageable but unable to focus on anything that 's not related to war and battle.",zombie.n.en.01
*ReDeads are undead creatures resembling <b>zombies</b> with a dark brown skin and flat mask-like faces that paralyze and cling to enemies with just a scream.,zombie.n.en.01
Circumstances lead to the event being a display of <b>zombie</b> props from Nicotero.,zombie.n.en.01
At this point the house is attacked by militant <b>zombies</b> (excited by the Preacher who stole Susan's car).,zombie.n.en.01
"Once the player has finished with movement, he rolls a six-sided die to determine the <b>zombies</b>' movement.",zombie.n.en.01
"Cuesta would have executive produced Babylon Fields, a television series about <b>zombies</b> proposed for the 2007-2008 season.",zombie.n.en.01
Tallahassee eliminates the remaining <b>zombies</b> single-handedly.,zombie.n.en.01
"The researchers on the island are killed by the newly risen <b>zombies</b>, except for Jenny (Candice Daly), the daughter of a scientist couple.",zombie.n.en.01
* A poster for the 2002 <b>zombie</b> film 28 Days Later.,zombie.n.en.01
"A character can only buy survivor skills while alive, and only <b>zombie</b> skills while dead; although skills of one type are not lost if the character dies or is revived, most survivor skills cannot be used by zombies, and vice versa.",zombie.n.en.01
"""Cool Air"","" In the Vault"" (which includes perhaps the first recorded character bitten by a zombie), ""The Thing on the Doorstep"", ""The Outsider ""and ""Pickman's Model ""are all undead or zombie-related, but the most definitive <b>zombie</b> story in Lovecraft's oeuvre was 1921's Herbert West--Reanimator, which ""helped define zombies in popular culture"".",zombie.n.en.01
"Local newspapers failed to mention the event, in a bid to stop it from continuing, after several businesses complained about minor ""zombie damage"" and <b>zombies</b> scaring their customers away.",zombie.n.en.01
It is not established for certain if Jessica is a <b>zombie</b> or not or that Voodoo magic is really effective.,zombie.n.en.02
* Tomes of the Dead- <b>zombie</b> stories,zombie.n.en.01
"Afterwards the skeleton begins gaining skin and hair, until it finally transforms into, a <b>zombie</b> of Captain Moonscar.",zombie.n.en.01
"Once a player is killed by another zombie they will stay a <b>zombie</b> until every player is defeated, or a player survives the 25 minutes.",zombie.n.en.01
"Typical plots of Eric Monster Millikin's comic portray him engaged in activities such as being killed by vampire hunters, being eaten by a dinosaur, and sawing off his own arm then replacing it with a <b>zombie</b>'s.",zombie.n.en.01
"Bill enters the room, spots the <b>zombie</b> and forces the boy out of his room.",zombie.n.en.01
"His nanites are later used by his successor, now a member of the New Avengers, years later to kill the remaining super-powered <b>zombies</b> and end the inter-dimensional zombie threat.",zombie.n.en.01
"Though zombies have appeared in many books prior to and after Night of the Living Dead, it would n't be until 1990 that <b>zombie</b> fiction emerged as a distinct literary subgenre, with the publication of Book of the Dead in 1990 and its follow-up Still Dead: Book of the Dead 2 in 1992, both edited by horror authors John Skipp and Craig Spector.",zombie.n.en.01
"These <b>zombies</b> are stripped of their outer skin, some body tissue, and most or all organs, leaving large parts of the victim's skeleton exposed.",zombie.n.en.01
":has healing powers, but can also revive the dead as mindless <b>zombies</b> whose allegiance is only for Arman himself",zombie.n.en.01
